acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
1.88,-11.7,6.48,-1.39,-1.5,2.51
0.75,-13.23,5.69,-1.16,-2.3,-0.04
-0.45,-7.31,4.67,-0.67,-2.37,-1.03
-0.19,-6.57,2.25,-1.11,-2.87,-1.44
0.3,-6.74,1.7,-1.65,-2.69,-0.93
1.95,-6.98,-2.24,-1.18,-2.33,-1.43
1.64,-6.6,-3.46,-1.51,-1.91,-1.72
2.87,-7.87,-5.4,-2.64,-1.49,-1.4
2.13,-6.54,-7.98,-1.83,-0.91,-2.95
0.16,-3.26,-8.76,-1.94,-0.68,-2.45
-1.59,10.18,-4.99,-1.36,4.38,-2.47
-1.11,15.57,3.86,-0.85,4.38,-2.0
5.85,12.72,4.44,-1.32,4.38,0.23
5.8,9.32,7.35,0.31,3.68,1.37
5.51,4.26,9.91,-0.17,3.4,3.53
3.63,0.05,9.91,0.22,1.82,4.36
1.49,-4.95,8.54,0.54,0.22,3.58
1.83,-7.87,4.14,0.55,-1.01,2.42
1.01,-5.3,0.58,0.7,-1.09,0.67
0.48,-3.65,-1.43,0.27,-0.96,0.18
-3.06,-10.42,7.25,-2.24,-3.4,2.86
-2.35,-9.34,5.72,-1.92,-3.65,0.01
-1.81,-6.64,3.82,-1.43,-4.03,-1.17
-0.16,-6.71,1.14,-1.49,-3.91,-1.69
0.13,-7.75,-0.41,-1.85,-3.72,-2.44
2.35,-3.21,-4.53,-1.63,-2.32,-2.53
1.77,-2.5,-5.11,-2.22,-1.91,-1.83
1.98,-1.02,-8.0,-2.0,-1.59,-1.36
0.69,-2.13,-9.46,-2.71,-1.12,-0.8
-0.11,-1.7,-12.15,-2.38,-0.4,-1.07
-1.82,1.39,-15.3,-2.66,1.21,-1.5
-0.96,6.41,-13.53,-2.29,4.01,-1.63
-3.33,6.55,-3.18,-0.18,4.38,-2.31
-7.08,10.79,0.37,-0.93,4.16,-1.53
5.4,12.06,3.07,-0.77,3.9,0.63
3.62,6.76,9.78,1.07,4.01,-0.03
7.66,6.27,7.8,0.93,4.01,0.99
2.43,3.07,6.48,0.82,1.99,1.31
0.0,3.49,5.67,0.29,2.44,1.99
0.0,-0.51,2.69,-0.46,0.7,2.23
-5.78,-12.32,9.91,-3.9,-4.12,1.24
-7.1,-9.67,6.53,-1.45,-3.64,-2.56
-8.12,-5.55,4.58,-1.45,-3.44,-3.03
-2.93,-11.51,-0.01,-2.38,-3.99,-2.36
-3.91,-5.08,-3.22,-1.11,-3.57,-2.49
-3.7,-2.62,-6.76,-1.74,-2.97,-2.95
-1.79,-0.54,-10.36,-1.7,-2.31,-1.77
-1.42,-0.69,-11.37,-2.61,-1.24,-1.5
-0.76,-1.16,-12.62,-3.28,-0.07,-1.68
-3.64,2.27,-15.46,-2.85,1.25,-1.44
-1.34,5.43,-9.61,-3.11,4.38,-2.47
9.36,10.37,-3.0,-1.53,4.38,-2.34
1.3,16.46,5.53,-0.87,4.38,-1.62
6.07,10.42,5.05,-0.5,4.16,-0.73
13.34,9.44,9.6,0.61,3.82,0.06
-2.18,9.36,7.15,-0.21,4.16,1.09
-0.25,2.3,6.27,0.76,2.12,1.06
-0.58,2.45,5.42,-0.45,2.38,2.03
-1.89,0.54,2.59,0.14,1.44,1.5
-2.34,2.29,2.52,-0.87,1.2,2.06
-2.67,-2.11,0.97,-0.66,0.2,1.78
-5.41,2.11,-0.84,-0.22,0.04,0.8
-2.77,0.57,-1.0,-0.18,0.04,0.53
-2.17,2.43,-1.58,-0.12,-0.19,0.06
-1.23,0.95,-1.0,-0.09,0.14,-0.13
