acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.88,-4.81,-7.5,-0.09,-0.04,0.16
8.57,-5.03,-7.63,-0.05,-0.01,0.05
8.56,-4.83,-7.62,-0.04,0.02,-0.09
8.68,-4.8,-7.61,0.09,0.01,-0.14
8.77,-4.7,-7.46,0.0,0.02,-0.03
8.51,-4.88,-7.46,0.0,0.0,0.05
8.6,-4.75,-7.41,0.0,0.03,0.01
8.37,-4.72,-7.57,-0.02,0.02,-0.01
8.55,-4.69,-7.46,-0.01,0.03,-0.05
8.66,-4.67,-7.34,0.0,0.04,-0.02
2.49,0.28,-7.16,-2.15,0.47,-1.12
7.17,4.2,-6.94,-2.12,1.09,-0.85
10.11,3.06,-5.87,-0.49,0.44,-0.89
9.83,1.76,-7.03,-0.17,-0.14,-0.54
9.78,-0.85,-7.08,-0.24,-0.13,0.4
9.01,-2.5,-7.85,-0.4,0.1,0.75
8.21,-4.77,-8.25,-0.22,-0.07,0.65
8.44,-5.7,-8.05,0.01,-0.03,0.33
8.19,-5.91,-8.43,0.05,0.09,-0.02
8.63,-5.41,-7.62,0.0,0.33,-0.32
8.68,-3.99,-7.56,0.11,-0.06,-0.03
8.16,-4.29,-7.81,0.02,-0.14,-0.08
8.58,-4.63,-7.89,-0.04,0.0,0.07
8.69,-5.12,-7.78,-0.3,0.09,0.18
8.69,-4.79,-7.13,-0.13,0.12,0.0
8.96,-5.76,-7.04,0.06,-0.02,-0.29
7.91,-8.78,-7.03,0.17,-0.43,-0.45
5.42,-11.57,-9.49,-0.69,-0.55,0.12
2.73,-11.09,-10.55,-2.19,0.55,0.09
-0.18,-7.41,-8.32,-2.79,1.81,-0.29
6.56,-14.45,-8.02,-1.31,-0.6,0.75
1.12,-12.72,-11.0,-2.07,0.77,-0.7
-2.49,-7.38,-9.15,-1.97,1.55,-1.31
-4.62,-3.09,-8.21,-2.22,2.11,-0.91
-8.16,5.3,-5.0,-3.15,3.77,-0.93
-3.6,7.37,0.87,-1.18,4.34,0.66
-4.89,6.63,5.13,-0.95,4.34,3.37
-2.94,3.58,10.23,1.0,4.34,4.05
4.66,6.61,10.23,2.89,3.15,3.64
2.37,2.87,10.23,2.17,1.13,4.38
0.56,0.87,10.23,2.07,-1.18,4.38
-10.55,-5.14,10.23,-0.34,-4.23,4.38
-18.74,-14.88,10.23,-1.57,-4.38,4.38
-12.48,-13.94,9.11,-2.82,-4.38,1.26
-9.81,-10.39,2.41,-2.9,-2.97,-1.08
-8.67,-8.5,-2.53,-2.96,-2.37,-1.28
-5.46,-4.62,-4.88,-3.33,-1.29,-1.78
-3.41,-3.08,-6.81,-3.09,-0.48,-1.91
0.52,-1.18,-7.87,-2.87,-0.15,-1.67
4.63,1.8,-7.98,-1.9,0.61,-1.13
6.06,1.65,-7.71,-2.18,1.06,-0.09
10.02,4.1,-7.42,-0.82,0.76,-0.9
