acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
18.12,5.52,10.23,4.43,1.65,2.83
15.56,-2.42,10.23,2.77,-0.82,4.38
6.97,-10.45,10.23,0.39,-3.07,4.38
-2.12,-12.02,10.23,-1.01,-3.82,2.21
-5.49,-11.8,5.21,-2.32,-3.63,0.67
-6.78,-8.58,-0.71,-2.14,-2.97,-1.14
-5.54,-6.26,-8.39,-2.95,-2.81,-1.09
-3.33,-3.63,-11.67,-3.35,-0.75,-1.04
-0.08,-0.19,-11.5,-4.05,0.28,-0.24
5.8,4.21,-9.67,-2.51,1.44,-0.89
11.34,1.82,10.23,2.65,-0.98,4.38
6.62,-5.9,10.23,0.64,-2.47,4.38
-0.43,-6.12,10.23,-0.47,-4.15,3.18
-7.94,-9.01,10.23,-1.73,-4.38,1.52
-11.07,-9.8,-0.03,-2.55,-4.13,-0.06
-8.63,-8.1,-10.68,-3.74,-2.61,-0.69
-6.82,-1.92,-12.32,-4.2,-0.23,-1.15
-1.02,5.0,-12.14,-3.64,0.64,-1.02
8.5,9.95,-10.74,-1.43,1.02,-1.08
11.24,5.01,-8.97,-0.6,0.63,-0.08
-11.28,-12.62,3.23,-1.91,-4.15,0.23
-9.67,-11.66,-9.96,-3.52,-2.95,-0.32
-9.98,-3.87,-13.1,-4.23,0.01,-1.04
0.06,6.82,-13.49,-3.34,1.18,-1.61
7.36,10.43,-10.23,-1.18,0.82,-1.12
12.34,5.25,-7.59,-0.59,0.62,0.12
11.26,-0.03,-7.03,-0.06,0.55,0.13
11.11,-3.06,-8.08,0.05,0.1,0.33
9.01,-3.29,-7.76,0.03,0.52,-0.23
9.94,-1.73,-7.16,0.06,-0.01,-0.15
-11.88,-11.36,10.12,-1.52,-4.38,2.23
-10.38,-11.43,-1.15,-2.19,-3.86,-0.34
-8.64,-8.53,-9.38,-3.95,-2.47,-0.53
-6.45,-2.16,-13.2,-4.29,-0.34,-0.67
-0.8,2.69,-13.41,-3.99,0.55,-0.18
7.99,9.84,-10.91,-1.72,1.36,-1.75
12.05,8.41,-8.54,-0.49,0.32,-0.56
11.9,2.9,-9.76,0.11,0.81,-0.3
10.71,0.26,-7.85,-0.02,0.19,0.62
9.92,-3.14,-9.25,0.09,0.36,0.57
-11.9,-11.24,-2.93,-2.33,-4.12,-0.42
-7.83,-8.27,-11.88,-3.94,-1.78,-0.98
-6.77,-1.85,-13.26,-4.29,0.21,-1.35
2.7,4.43,-14.32,-2.99,1.01,-1.15
11.81,12.1,-8.19,-1.04,1.56,-1.52
14.01,4.38,-7.01,-0.17,0.48,0.28
10.33,-1.99,-7.05,-0.46,0.87,0.68
10.45,-4.54,-7.07,-0.04,-0.03,0.58
9.82,-4.84,-8.25,0.14,0.21,-0.16
9.05,-3.42,-7.54,0.12,0.25,-0.28
-11.0,-3.92,-11.53,-4.29,-1.47,-1.8
-11.07,4.32,-16.22,-4.29,0.1,-1.69
6.1,11.13,-12.21,-2.1,2.03,-1.31
12.29,8.66,-8.74,-0.87,1.17,-0.73
13.88,2.22,-7.11,-0.25,0.74,0.43
11.15,-1.56,-5.42,-0.04,0.49,0.41
11.54,-3.7,-7.68,0.25,-0.1,0.32
9.41,-4.08,-7.66,-0.05,0.54,-0.02
9.14,-3.34,-7.4,0.0,0.06,0.07
8.97,-3.46,-8.02,-0.02,0.18,-0.02
-9.53,-9.12,-5.83,-3.54,-3.1,-0.27
-5.24,-6.48,-10.99,-4.29,-0.68,-0.93
-4.65,-1.18,-11.53,-4.29,0.4,-1.06
3.34,3.93,-10.45,-4.14,1.54,-0.82
10.12,9.57,-5.45,-0.99,1.35,-1.86
13.44,5.72,-6.4,-0.49,-0.01,-0.09
11.08,1.34,-7.05,-0.19,0.74,0.26
