acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.83,-1.96,-0.75,-1.64,-3.94,1.47
-3.63,-1.2,-3.94,-1.81,-4.38,0.66
-0.67,-3.65,-8.09,-1.03,-3.0,-0.87
0.51,0.44,-10.71,-0.55,-1.09,-1.6
2.99,2.36,-11.38,1.5,-0.1,-1.59
5.25,0.67,-11.06,-3.03,0.41,-0.32
6.44,0.04,-8.76,-0.13,0.56,-1.02
6.74,-0.4,-6.85,-0.72,0.59,-0.69
6.78,4.67,-4.68,0.17,0.8,-0.62
7.43,1.85,-4.67,0.4,0.58,-0.44
-0.76,2.93,-16.48,-1.78,1.12,-1.13
3.7,5.66,-7.0,-1.31,1.35,0.1
8.82,5.89,-1.25,0.18,0.13,-0.21
9.66,3.81,-2.28,0.39,0.18,-0.14
6.33,3.21,-1.79,0.39,0.11,0.03
6.98,-0.1,-2.31,-0.27,-0.05,0.39
6.04,1.69,-2.08,0.44,-0.07,-0.03
6.73,1.34,-3.08,-0.07,-0.27,0.44
6.37,1.31,-3.93,0.18,0.03,0.01
5.99,0.66,-3.66,-0.15,0.0,0.07
6.29,8.23,-1.54,0.16,0.28,0.17
5.53,3.94,-1.91,0.67,0.18,0.41
5.1,4.92,-4.41,0.47,0.02,0.19
4.39,3.3,-5.76,-0.18,0.16,0.15
4.22,3.58,-4.78,0.05,0.39,0.04
4.16,4.49,-2.96,0.21,0.22,0.17
4.84,3.32,-3.26,0.04,0.12,0.37
4.24,4.33,-4.48,0.18,0.16,0.13
3.69,3.54,-9.43,-0.04,0.12,-0.07
4.41,4.0,-3.09,0.15,0.97,0.53
-6.21,2.5,-3.47,-1.32,-2.81,2.1
-0.85,1.33,-6.89,-2.21,-2.31,1.49
0.07,-0.47,-11.51,-0.72,1.34,-1.19
-3.04,-1.28,-12.54,-4.24,1.96,-1.7
-0.99,-0.11,-6.48,-0.93,0.89,-1.17
-2.13,4.07,-2.23,1.0,1.0,-0.61
-2.54,4.77,-1.34,1.95,0.74,0.02
-2.41,8.57,-1.31,1.21,-0.99,-0.06
-0.79,7.21,-2.76,0.42,-1.35,0.0
0.1,6.17,-3.6,0.9,-0.2,0.18
1.38,3.02,-1.52,0.06,-0.25,0.04
1.54,3.27,-1.59,0.27,-0.2,0.05
1.58,2.9,-2.02,0.09,-0.2,0.09
1.68,3.01,-1.67,0.15,-0.17,0.14
