acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-6.77,10.06,9.91,2.29,4.38,4.36
2.78,0.99,9.91,2.25,1.86,4.36
-10.81,1.04,9.91,1.87,-1.78,4.36
-18.12,-4.36,9.91,-0.32,-4.34,4.36
-18.81,-6.84,9.91,-2.86,-4.34,4.36
-16.91,-7.69,9.91,-3.99,-4.34,0.98
-13.44,-4.96,8.39,-3.85,-4.34,-2.23
-10.95,-3.38,-0.03,-3.79,-3.97,-2.73
-5.9,-0.18,-5.31,-3.88,-2.86,-1.87
-3.66,5.23,-9.77,-3.66,-2.06,-1.01
-6.09,4.63,9.91,0.81,4.38,4.36
-10.75,-1.36,9.91,2.3,-1.26,4.36
-17.29,-7.9,9.91,0.45,-4.34,4.36
-11.27,-9.28,9.91,-0.57,-4.34,4.36
-5.98,-7.71,9.91,-4.31,-4.34,4.08
-5.95,-6.08,9.91,-4.31,-3.96,0.06
-8.23,-2.5,9.91,-4.06,-2.79,-2.46
-6.49,1.23,0.35,-4.31,-2.19,-1.85
-5.84,-0.06,-5.35,-4.31,-1.45,-1.48
-2.74,1.92,-10.04,-3.99,-0.84,-1.46
-8.67,17.57,8.96,-1.08,4.38,4.0
-9.76,15.93,9.91,1.93,4.38,4.36
-2.5,2.64,9.91,3.14,3.34,4.36
-8.05,-4.85,9.91,2.49,-0.75,4.36
-13.67,-9.78,9.91,0.49,-4.34,4.36
-15.2,-10.55,9.91,-1.11,-4.34,4.12
-14.55,-9.66,9.91,-2.98,-4.34,1.37
-10.36,-9.28,8.5,-3.68,-4.34,-0.84
-8.08,-4.22,0.5,-3.78,-3.26,-1.65
-5.11,-0.95,-3.85,-4.21,-2.08,-1.43
-9.31,18.78,9.91,-1.25,4.38,3.97
0.16,14.6,9.91,1.67,4.38,4.36
-3.95,4.08,9.91,3.54,1.95,4.36
-6.27,-6.56,9.91,1.94,-1.64,4.36
-11.44,-15.48,9.91,0.25,-4.34,4.36
-12.22,-14.02,9.91,-1.6,-4.34,2.31
-10.75,-11.98,9.91,-2.6,-4.34,-0.67
-9.6,-7.83,9.01,-3.62,-4.01,-1.73
-7.09,-3.86,2.12,-4.28,-2.91,-1.77
