acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
10.42,-4.94,-10.3,-0.36,-0.01,0.47
9.55,-3.95,-10.83,-0.42,0.07,0.32
9.39,-4.58,-10.56,-0.48,0.14,0.42
9.13,-4.86,-10.27,-0.37,0.17,0.32
8.31,-4.59,-11.13,-0.25,-0.09,0.17
8.53,-5.58,-9.98,-0.52,0.19,0.23
8.06,-5.86,-10.83,-0.49,-0.08,0.21
8.17,-6.29,-10.9,-0.43,-0.1,0.03
8.12,-6.15,-10.66,-0.25,-0.03,-0.16
8.42,-6.1,-10.51,-0.23,0.07,-0.11
9.78,-5.29,-10.4,-0.29,0.0,0.33
9.38,-5.24,-10.73,-0.04,-0.16,0.19
9.05,-4.5,-11.09,-0.13,-0.07,0.1
8.79,-4.63,-11.1,-0.05,0.0,0.08
8.63,-4.88,-10.94,0.01,-0.07,0.0
8.83,-4.56,-11.89,0.05,-0.18,-0.06
8.66,-4.61,-11.87,-0.09,-0.11,-0.02
8.23,-5.05,-11.07,0.17,-0.07,-0.16
8.49,-5.41,-11.35,0.35,-0.12,-0.19
8.7,-5.27,-11.32,0.09,-0.12,-0.02
-0.49,1.44,-11.12,-2.48,-0.56,-0.03
4.74,3.24,-8.95,-1.99,0.33,0.28
6.12,1.64,-9.62,-1.0,0.61,0.22
8.33,-0.89,-9.96,-1.13,0.27,0.51
9.61,-2.54,-9.72,-0.33,0.22,0.29
10.17,-3.92,-9.59,-0.06,0.32,0.19
9.58,-4.52,-9.75,-0.03,0.17,0.1
9.67,-5.12,-9.48,-0.1,0.1,0.13
9.09,-5.15,-9.42,0.13,0.1,-0.02
9.06,-5.05,-9.17,0.2,0.14,-0.07
8.54,-5.28,-11.62,0.03,-0.02,0.09
8.46,-5.47,-11.36,0.01,0.01,0.15
8.42,-5.69,-11.4,-0.01,-0.06,0.13
8.62,-5.78,-11.68,0.05,-0.08,0.07
8.57,-5.6,-11.71,0.06,0.0,-0.06
8.5,-5.43,-11.26,0.06,0.06,-0.1
8.35,-5.55,-11.2,0.1,0.01,-0.1
8.49,-5.54,-11.35,0.03,-0.02,-0.02
8.41,-5.33,-11.47,0.0,0.02,0.01
8.52,-5.28,-11.06,-0.06,0.04,0.06
8.3,-4.75,-10.67,-0.28,0.63,0.29
8.59,-4.81,-9.87,0.07,0.22,0.24
9.3,-5.35,-10.13,0.2,0.08,-0.01
8.96,-5.48,-9.83,0.09,-0.07,-0.11
9.19,-5.63,-10.69,0.03,-0.27,-0.04
9.55,-5.77,-10.88,-0.17,-0.27,0.09
9.21,-6.1,-10.61,-0.25,-0.24,0.07
9.26,-5.68,-11.02,0.06,-0.14,-0.16
8.93,-5.61,-10.99,-0.07,-0.02,-0.17
8.63,-5.47,-10.91,-0.07,-0.03,-0.06
8.68,-5.12,-11.53,0.09,-0.12,0.1
8.43,-5.19,-11.84,0.13,-0.08,0.01
8.5,-5.57,-11.78,0.14,0.02,-0.01
8.52,-5.72,-11.55,0.08,0.03,-0.05
8.39,-5.32,-11.3,0.15,0.11,-0.12
8.48,-5.48,-11.26,0.03,-0.02,0.0
8.55,-5.44,-11.46,0.09,0.04,-0.04
8.65,-5.67,-11.27,-0.05,0.04,0.02
8.65,-5.17,-11.08,0.12,0.08,-0.1
8.8,-5.07,-11.36,0.06,0.06,-0.07
9.22,-5.53,-12.08,-0.51,0.01,0.79
