acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.1,-4.82,-9.2,-0.04,0.04,0.02
9.02,-4.79,-9.25,0.01,0.0,-0.03
9.1,-4.67,-9.29,-0.05,-0.02,-0.03
9.0,-4.55,-9.23,0.0,-0.05,-0.07
8.94,-4.55,-9.23,-0.03,-0.08,-0.02
8.95,-4.72,-9.49,0.01,-0.08,-0.04
8.84,-4.62,-9.71,0.03,-0.04,-0.06
8.84,-4.42,-9.45,-0.02,0.05,-0.04
8.93,-4.39,-9.38,0.03,0.09,0.0
8.87,-4.49,-9.33,-0.03,0.0,0.07
-7.35,8.77,-10.27,-4.29,-0.8,-0.45
1.29,14.86,-9.53,-2.03,0.22,-0.47
9.25,7.69,-10.42,-1.18,0.03,0.19
10.04,0.25,-10.85,-0.6,-0.06,0.16
10.02,-3.01,-9.77,0.07,-0.28,-0.04
9.17,-4.23,-10.62,0.35,-0.36,-0.16
8.67,-4.23,-10.7,0.13,-0.1,0.01
8.75,-4.53,-10.09,-0.01,-0.07,0.18
8.94,-4.51,-9.97,0.05,-0.02,0.05
8.86,-4.38,-9.81,-0.01,-0.03,0.09
-8.14,-2.55,0.33,-4.29,-3.52,0.21
-7.55,-1.54,-4.89,-4.29,-2.08,-0.03
-4.28,2.36,-8.65,-3.94,-0.62,-0.82
1.38,6.46,-13.78,-2.59,0.12,-0.33
8.96,9.59,-8.85,-1.45,1.33,-0.81
10.57,4.58,-10.05,-0.44,-0.17,-0.23
11.15,-0.58,-11.47,0.04,-0.32,-0.32
9.4,-3.09,-11.94,0.39,-0.03,-0.42
9.07,-4.12,-11.04,0.17,-0.08,-0.02
8.68,-4.13,-12.0,0.19,-0.03,0.13
8.93,-4.32,-10.03,0.16,-0.18,0.07
8.48,-4.34,-10.83,0.08,-0.08,0.09
8.46,-4.69,-10.56,0.04,0.08,0.21
8.7,-4.81,-10.66,-0.03,0.16,0.17
8.84,-4.59,-9.84,0.07,0.09,0.17
9.15,-4.31,-10.42,0.1,0.0,0.04
9.05,-4.56,-10.11,0.23,0.0,-0.09
9.31,-4.54,-9.89,0.17,0.03,0.0
9.22,-4.56,-9.96,0.12,-0.04,0.06
9.22,-4.67,-9.69,0.16,-0.08,0.04
8.63,-4.77,-11.59,0.09,-0.12,0.09
8.52,-4.71,-11.5,0.04,-0.01,0.08
8.27,-4.94,-11.56,0.03,0.04,0.04
8.39,-5.05,-11.47,0.06,0.03,0.0
8.74,-4.78,-11.51,0.06,0.08,-0.05
8.81,-4.73,-11.45,0.0,0.05,0.0
8.77,-4.69,-11.3,0.02,0.06,0.04
8.97,-4.72,-11.28,0.01,0.04,0.08
8.88,-4.9,-11.09,0.01,0.03,0.07
8.91,-5.09,-10.85,0.0,0.02,0.1
9.3,-3.95,-11.43,0.11,-0.29,0.17
9.37,-3.8,-10.95,0.14,-0.03,0.32
8.73,-4.06,-11.15,-0.13,-0.03,0.29
8.9,-4.1,-10.64,0.18,0.08,0.29
8.79,-4.81,-10.91,-0.19,-0.08,0.38
9.05,-5.27,-10.79,-0.03,-0.02,0.28
8.75,-4.99,-10.96,0.03,-0.11,0.09
8.65,-5.04,-10.88,-0.14,-0.11,0.02
9.0,-4.81,-11.1,0.02,-0.01,0.08
8.94,-4.84,-10.85,-0.09,0.07,0.12
9.01,-4.49,-11.26,0.5,0.13,0.05
9.34,-5.0,-11.35,0.05,-0.22,0.1
8.74,-4.32,-11.09,-0.04,0.0,0.05
8.51,-3.88,-10.56,0.2,-0.13,-0.09
8.07,-3.91,-11.54,0.19,-0.13,-0.28
8.5,-4.43,-11.62,0.49,0.1,-0.37
9.25,-4.76,-11.02,0.0,0.19,-0.35
8.95,-4.4,-9.92,0.2,0.04,-0.16
9.36,-3.59,-10.59,0.0,-0.21,0.04
9.64,-3.72,-10.63,0.01,0.12,0.36
8.8,-4.21,-12.22,0.06,0.09,0.18
8.34,-4.34,-11.25,-0.15,0.05,0.08
8.92,-4.04,-11.73,0.22,0.07,0.01
9.13,-4.52,-11.61,-0.18,-0.02,0.25
9.21,-4.53,-11.35,0.0,0.12,0.18
8.85,-4.59,-11.36,0.0,0.07,-0.02
8.91,-4.89,-11.12,0.18,0.07,0.11
8.68,-4.52,-11.26,-0.06,-0.02,0.12
9.13,-4.57,-11.31,0.0,0.07,0.18
9.21,-4.79,-11.01,-0.02,-0.03,0.17
10.18,-3.03,-10.82,0.17,-0.1,-0.23
9.96,-5.22,-10.96,-0.29,0.01,-0.25
9.08,-4.99,-10.92,0.23,0.12,-0.57
9.32,-4.66,-10.71,0.12,0.03,-0.43
8.89,-4.67,-10.91,0.2,0.11,-0.36
8.91,-3.65,-10.71,0.15,0.19,-0.27
9.16,-3.81,-10.52,0.04,0.15,-0.05
9.08,-3.67,-10.03,0.19,0.28,0.0
9.11,-4.05,-10.21,0.19,0.15,0.01
9.34,-4.42,-9.63,0.15,0.15,0.09
9.36,-2.12,-10.99,-0.4,-0.2,-0.15
9.65,-4.12,-10.61,0.01,-0.23,-0.17
9.2,-6.35,-11.53,0.07,0.02,-0.34
8.45,-5.6,-10.45,0.11,0.06,-0.34
8.4,-5.42,-10.65,0.13,0.03,-0.47
8.58,-5.33,-10.65,0.0,0.0,-0.5
9.19,-4.42,-10.69,0.01,0.26,-0.41
8.83,-3.65,-10.44,-0.09,0.03,-0.24
8.63,-3.5,-10.32,0.04,0.13,0.0
8.98,-4.02,-10.61,-0.06,0.03,0.31
8.94,-4.88,-11.23,0.03,0.13,-0.01
8.86,-5.1,-11.44,0.04,0.11,-0.15
8.53,-4.75,-10.87,0.17,0.17,-0.21
8.77,-4.7,-10.76,-0.02,0.05,-0.02
8.84,-4.82,-10.72,-0.03,0.02,0.16
9.1,-5.1,-11.08,-0.08,-0.06,0.24
8.76,-4.91,-10.73,0.05,0.02,0.09
8.78,-5.38,-10.6,0.02,-0.13,0.15
8.91,-5.03,-10.95,0.04,-0.11,0.18
8.62,-5.13,-11.02,0.03,-0.08,0.11
9.06,-5.25,-10.75,0.14,0.28,-0.08
8.88,-5.15,-10.31,0.06,0.09,-0.17
9.02,-5.14,-10.11,0.09,0.08,0.0
8.88,-5.05,-10.27,-0.12,0.03,0.14
9.26,-5.5,-9.94,-0.12,0.12,0.2
8.78,-5.4,-10.46,-0.11,-0.01,0.07
8.83,-5.28,-10.02,0.02,-0.07,-0.08
8.59,-5.16,-10.55,0.02,-0.11,-0.09
8.67,-5.15,-10.58,0.07,-0.02,-0.06
8.81,-5.3,-10.36,-0.11,0.04,0.11
9.34,-3.94,-10.65,-0.47,0.29,0.75
9.32,-4.7,-10.56,-0.32,-0.18,0.87
9.31,-4.76,-11.27,-0.16,-0.24,0.51
9.15,-4.75,-11.47,0.1,0.0,0.04
8.66,-4.61,-11.56,-0.03,-0.06,0.06
9.14,-4.58,-11.69,-0.04,0.11,0.12
8.7,-4.82,-11.44,-0.18,0.05,0.09
9.01,-4.77,-11.58,-0.03,0.07,0.06
8.68,-4.81,-11.47,0.01,-0.02,-0.07
9.14,-4.45,-11.22,0.1,0.18,-0.05
9.98,-3.51,-12.67,-0.26,0.2,0.78
9.15,-4.75,-10.7,0.26,0.23,0.18
9.03,-5.56,-11.31,-0.09,-0.11,0.4
9.61,-5.44,-11.55,0.04,0.0,0.32
8.93,-5.37,-11.4,-0.22,0.14,0.13
9.18,-5.05,-11.34,0.02,0.28,0.03
8.48,-5.23,-11.09,-0.19,0.05,-0.02
8.86,-4.82,-10.92,-0.06,0.18,-0.05
8.8,-4.85,-11.1,-0.01,0.01,0.01
8.92,-4.65,-10.94,-0.1,0.09,0.08
8.86,-4.16,-11.53,0.05,0.18,-0.09
8.81,-4.18,-11.61,-0.05,0.13,0.06
9.03,-4.35,-11.69,-0.16,0.16,0.38
9.06,-4.82,-11.32,-0.3,0.19,0.44
8.6,-5.01,-11.42,-0.2,0.21,0.33
8.9,-5.44,-11.03,-0.27,0.1,0.29
8.84,-5.35,-11.72,0.01,0.08,0.0
8.83,-5.28,-10.93,-0.07,0.04,-0.04
8.74,-4.59,-11.72,0.09,0.0,-0.09
8.65,-4.95,-11.28,0.03,0.01,-0.01
9.34,-3.79,-11.93,0.22,0.11,-0.04
8.9,-3.87,-12.11,0.05,0.1,-0.02
8.76,-3.77,-11.61,0.14,0.1,0.06
8.92,-4.2,-11.86,-0.03,0.11,0.24
8.87,-4.68,-11.29,0.0,0.23,0.43
9.09,-5.15,-11.44,-0.25,0.14,0.56
8.62,-5.25,-11.32,-0.07,0.1,0.46
8.91,-5.7,-10.88,0.02,0.12,0.34
8.68,-5.9,-11.42,0.09,0.0,0.15
8.68,-5.74,-11.27,0.2,0.1,-0.04
9.05,-4.5,-10.92,-0.1,0.12,0.21
8.86,-4.46,-10.89,-0.05,0.17,0.12
9.05,-4.74,-10.89,-0.01,0.25,0.17
