acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.95,5.71,4.380000000000001,0.09,-0.04,0.0
-4.99,5.92,4.420000000000001,0.0,0.0,-0.04
-4.97,5.78,4.48,0.08,-0.07,-0.01
-4.93,5.98,4.300000000000001,0.04,-0.07,-0.03
-5.0,5.86,4.430000000000001,0.04,-0.07,-0.01
-5.07,5.86,4.3500000000000005,0.03,-0.08,0.0
-5.49,5.76,4.74,0.05,-0.11,-0.01
-5.42,5.72,4.95,0.34,-0.58,0.06
-4.29,6.02,3.8500000000000005,0.44,-0.54,0.1
-4.07,6.07,3.750000000000001,0.03,-0.16,-0.06
-3.48,7.35,2.4800000000000004,0.02,-0.07,-0.08
-3.56,7.29,2.750000000000001,0.0,-0.05,-0.07
-3.5,7.21,2.62,0.05,-0.1,-0.02
-3.57,7.29,2.62,0.01,-0.07,-0.02
-3.63,7.21,2.540000000000001,0.06,-0.1,0.0
-3.53,7.25,2.5100000000000007,0.02,-0.06,-0.02
-3.53,7.3,2.6100000000000003,0.02,-0.04,0.0
-3.59,7.05,2.6500000000000004,0.01,-0.03,0.0
-3.65,7.31,2.6900000000000004,0.0,-0.1,0.0
-3.48,7.24,2.5300000000000002,0.06,-0.1,0.03
-20.43,7.74,-0.41999999999999993,-1.19,2.93,2.97
-20.43,8.84,-2.5199999999999996,-2.3,1.58,2.5
-17.17,0.93,0.9299999999999997,-2.23,2.48,2.32
-10.9,0.12,3.41,-1.16,1.1,1.09
-6.76,2.61,2.250000000000001,-0.69,-0.87,0.25
-3.82,6.3,-0.33000000000000007,-0.63,-1.24,-0.22
-2.94,6.94,-0.41000000000000014,-0.06,-0.92,-0.39
-2.78,7.42,0.6799999999999997,0.02,-0.88,-0.1
-3.07,7.32,1.2599999999999998,0.15,-0.58,-0.03
-3.45,7.17,2.2300000000000004,0.11,-0.42,-0.03
-7.95,-0.71,3.5600000000000005,-0.38,-1.07,-0.33
-6.44,3.2,1.4000000000000004,0.44,-2.19,-1.09
-5.45,6.79,0.05000000000000071,0.39,-2.16,-1.14
