acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-5.81,3.31,14.86,0.85,0.42,0.0
-6.11,2.95,16.55,0.23,0.53,-0.19
-4.06,3.18,15.9,-0.72,-0.04,-0.28
-0.34,4.73,11.93,-0.33,-0.7,-0.47
-1.9,2.38,10.14,-0.05,-0.23,-0.17
-1.77,2.19,9.63,-0.16,-0.24,-0.14
-1.35,3.63,9.31,0.46,-0.21,-0.03
-1.25,2.62,8.75,-0.14,-0.42,-0.15
-1.04,3.29,9.16,0.13,-0.29,-0.13
-1.4,3.0,8.76,0.14,-0.04,-0.15
-20.43,4.81,12.8,-4.29,4.34,-3.63
-14.92,0.66,15.370000000000001,-1.58,3.6,-1.17
-5.85,2.0,17.7,2.33,0.78,0.63
-6.95,4.53,16.7,-1.52,0.58,-0.43
-6.52,-1.25,17.96,0.56,0.92,-0.06
-4.66,4.18,16.54,-0.48,-0.06,0.34
-3.05,1.53,12.41,-0.28,-0.55,0.19
-2.77,1.46,11.74,-0.14,-0.5,0.43
-1.82,1.75,10.16,-0.31,-0.55,0.06
-1.38,1.01,9.190000000000001,-0.25,-0.32,-0.16
-10.65,-3.41,15.21,-2.19,0.91,0.24
-4.46,5.25,16.47,2.97,0.99,0.9
-3.47,-6.05,19.009999999999998,-2.15,0.73,0.67
-2.56,1.43,16.64,1.17,-0.06,-0.15
-1.31,2.27,12.510000000000002,-0.58,-0.37,-0.72
-1.04,1.2,9.520000000000001,-0.81,-0.47,0.13
-1.35,-0.35,9.09,-0.14,-0.56,0.12
0.13,1.46,8.23,0.23,-0.67,-0.16
-0.14,2.08,7.86,-0.22,-0.39,-0.01
0.35,0.84,9.6,0.01,0.26,-0.14
-13.85,-3.3,19.91,-4.29,4.34,-4.34
-9.81,3.11,20.04,0.82,0.74,1.33
-4.82,7.11,18.29,-0.3,0.52,-0.85
-2.95,4.88,16.58,-0.74,0.48,-0.43
-3.84,7.4,11.91,-0.03,-0.54,-0.17
-2.33,3.11,8.31,0.23,-0.82,0.02
-0.33,6.13,7.8500000000000005,-0.6,-0.11,0.34
0.42,3.67,8.64,-0.47,-0.13,0.04
-0.33,3.94,7.94,-0.15,-0.55,0.01
0.72,4.61,8.08,-0.04,-0.81,-0.05
-2.02,6.45,-1.799999999999999,-0.17,-1.14,0.37
-0.66,7.38,-0.8399999999999999,0.37,-1.24,0.0
-0.5,7.84,-1.75,0.23,-1.99,0.09
-0.93,10.6,-3.75,1.48,-2.34,-0.26
-4.78,15.78,-5.809999999999999,0.4,-4.23,0.49
-2.25,18.07,-6.790000000000001,1.19,-4.28,2.03
5.06,13.86,-11.540000000000001,3.46,-2.36,3.22
-3.4,15.37,-13.679999999999998,4.43,-0.36,3.63
-6.65,10.73,-11.729999999999999,4.43,0.12,2.94
-10.3,8.24,-11.749999999999998,4.43,-2.99,0.94
-1.72,4.98,5.0200000000000005,0.49,-0.17,-0.32
1.03,4.71,5.000000000000001,-0.04,-0.49,-1.02
0.82,7.08,6.140000000000001,0.56,-0.69,-1.34
0.15,9.34,5.180000000000001,0.74,-1.48,-2.1
0.27,9.83,4.220000000000001,0.61,-2.18,-2.43
-0.83,10.69,3.3200000000000003,1.26,-2.78,-2.73
-0.68,12.27,3.210000000000001,0.02,-2.76,-1.85
-1.96,10.29,1.7300000000000004,0.03,-2.57,-1.85
-2.95,10.78,1.0600000000000005,-0.39,-2.89,-2.06
-3.44,7.83,1.1100000000000012,1.2,-3.27,-1.95
0.65,0.33,9.84,-0.04,0.03,0.0
0.64,0.0,9.620000000000001,-0.08,0.0,0.0
0.58,0.0,9.75,-0.05,0.04,-0.01
0.35,0.13,9.83,-0.16,0.04,0.03
0.47,-0.64,9.6,-0.23,0.0,0.0
0.17,-0.42,9.690000000000001,-0.03,-0.01,0.0
0.43,-0.57,9.81,0.06,0.04,-0.01
0.41,-0.08,9.860000000000001,0.07,0.09,-0.05
0.38,-0.33,9.98,-0.07,0.0,0.0
0.5,0.12,9.84,0.0,0.06,-0.12
-3.56,4.47,6.69,0.5,1.36,1.22
-3.56,4.24,9.09,-0.05,0.72,0.53
-2.96,3.13,9.88,-0.6,-0.44,-0.15
-2.24,3.41,9.030000000000001,0.2,-0.48,0.02
-2.49,3.79,9.39,-0.43,-0.25,0.02
-2.71,2.17,9.32,-0.21,-0.21,0.25
-1.68,2.87,8.940000000000001,0.03,-0.33,0.45
-1.89,2.32,8.67,-0.16,-0.23,0.19
-1.66,2.8,8.49,-0.21,-0.17,-0.02
-1.78,2.24,8.15,-0.21,-0.18,0.1
-1.32,3.99,13.56,-0.35,1.74,1.45
-2.65,6.55,14.280000000000001,-0.53,1.4,0.37
-2.4,6.26,10.200000000000001,-0.77,-0.29,0.52
-2.15,4.94,6.91,0.43,-0.25,0.12
-0.38,5.49,7.210000000000001,-0.8,-0.57,0.33
-0.46,4.11,7.130000000000001,-0.1,-0.22,0.21
-0.13,4.26,6.720000000000001,-0.42,0.15,-0.24
-0.62,5.25,7.5600000000000005,-0.55,-0.18,0.13
-0.7,5.21,6.550000000000001,-0.33,-0.16,0.0
0.28,3.61,7.6000000000000005,-0.11,0.21,-0.02
-0.46,4.19,8.4,0.06,-0.02,-0.02
-0.29,3.72,8.030000000000001,0.09,0.04,-0.07
-0.65,3.74,8.17,0.27,0.13,0.07
-0.46,3.62,8.21,-0.12,-0.08,0.1
-0.29,3.43,7.91,0.17,-0.05,-0.13
-0.6,3.48,8.13,-0.02,0.04,0.0
-0.31,4.2,8.38,0.01,0.07,-0.09
-0.66,3.82,8.350000000000001,-0.11,0.02,0.06
-0.29,3.89,8.52,0.02,0.0,-0.06
-0.47,4.0,8.52,0.01,-0.02,-0.04
-3.39,-1.25,9.860000000000001,-0.43,-0.24,-0.04
-0.67,-0.92,9.120000000000001,-0.16,-0.28,-0.03
0.4,-0.42,8.9,-0.49,-0.27,-0.06
1.13,-1.25,8.72,-0.14,-0.49,-0.24
1.44,0.25,8.89,0.07,-0.26,-0.3
0.82,0.55,8.66,-0.17,0.03,0.0
1.32,-0.51,9.25,0.06,-0.09,-0.01
0.97,-0.62,9.09,-0.12,0.0,-0.06
1.24,-0.11,9.63,0.1,0.12,-0.17
1.1,-0.14,9.8,-0.1,0.02,-0.07
-12.83,0.68,16.5,-4.29,4.27,-4.34
-9.42,-3.67,19.19,0.2,0.97,2.23
-7.18,-0.31,15.95,0.62,1.01,1.79
-6.44,-3.47,14.93,-1.47,0.93,-0.39
-4.72,-0.35,14.540000000000001,0.78,0.67,0.35
-4.3,0.94,12.09,-1.01,-0.1,-0.06
-3.08,-1.49,10.56,-0.05,-0.47,0.21
-2.67,0.17,10.74,0.31,-0.2,0.14
-1.93,0.6,9.450000000000001,-0.28,-0.39,-0.11
-1.21,0.06,9.02,0.0,-0.37,0.07
-3.09,1.22,8.18,0.49,-0.45,0.14
-4.67,2.19,7.34,0.62,-0.95,0.36
-4.66,1.31,5.970000000000001,1.92,-1.82,0.89
-4.04,1.91,6.49,2.35,-1.72,0.56
-3.04,2.49,6.050000000000001,1.99,-1.45,-0.12
-2.11,3.55,5.73,1.95,-1.32,-0.84
-1.32,3.91,7.550000000000001,1.07,-1.13,-1.63
-1.03,7.91,6.36,1.23,-1.39,-2.22
-0.18,7.14,6.5200000000000005,1.16,-1.19,-2.74
-0.02,11.0,6.32,0.49,-1.22,-2.36
-1.28,0.36,9.34,0.28,-0.2,0.09
-1.47,-0.27,9.66,-0.25,-0.02,0.14
-1.58,-0.52,10.16,0.07,-0.02,0.08
-1.75,-0.31,9.84,0.1,-0.15,0.11
-1.28,0.04,9.64,0.11,-0.09,0.0
-1.02,-0.51,9.620000000000001,-0.23,0.08,-0.03
-1.95,-1.06,10.05,-0.01,0.16,0.29
-1.76,-0.3,9.96,-0.02,-0.09,0.0
-1.62,-0.53,9.93,0.06,0.0,0.05
-1.64,-0.23,9.98,0.08,0.0,0.01
-5.73,-0.79,9.47,-0.18,-1.04,0.22
-5.62,-0.33,9.38,0.13,-0.32,0.14
-4.41,-0.64,9.63,0.14,-0.11,0.11
-3.82,-0.27,8.88,-0.12,-0.47,0.02
-3.62,0.22,8.59,0.16,-0.64,-0.01
-3.21,0.13,8.780000000000001,-0.1,-0.43,-0.06
-3.41,-0.01,8.4,-0.18,-0.37,-0.12
-4.46,-0.52,8.72,-0.15,-0.44,-0.1
-3.05,-0.88,8.860000000000001,-0.19,-0.27,-0.02
-2.44,-0.22,8.97,0.05,-0.26,0.01
0.13,1.38,8.040000000000001,1.09,-0.52,-0.06
1.39,4.71,8.18,0.08,-0.8,-0.27
0.88,-1.0,5.550000000000001,-0.89,-1.46,-0.36
1.14,-0.02,4.290000000000001,0.51,-1.46,-0.86
0.33,0.93,3.420000000000001,1.48,-1.1,-1.19
-0.56,4.54,2.750000000000001,2.47,-0.43,-1.86
-0.51,6.67,2.5300000000000002,0.61,0.1,-1.24
-2.31,4.93,3.2,0.71,0.22,-1.13
-3.77,6.37,4.33,0.86,-0.15,-1.35
-5.24,6.87,4.12,1.76,-1.21,-1.59
-0.33,1.89,9.35,0.06,-0.05,-0.17
-0.71,1.83,9.5,-0.05,-0.04,-0.1
-0.65,1.36,9.5,-0.21,-0.02,0.01
-0.49,0.47,9.32,0.06,-0.11,0.02
-0.37,1.19,9.27,0.24,-0.06,0.03
0.08,1.86,9.360000000000001,0.13,-0.12,-0.07
-0.48,1.5,9.39,0.37,0.06,-0.01
-0.29,1.6,9.5,-0.14,0.0,0.0
-0.49,1.74,9.41,0.17,0.23,-0.02
-0.78,1.8,9.71,-0.24,0.06,0.05
0.57,4.68,7.4,-0.03,-0.02,-0.01
0.33,4.36,7.700000000000001,0.17,0.0,-0.01
0.5,4.95,7.99,0.06,-0.06,0.01
0.71,4.09,8.02,-0.05,0.09,0.14
0.23,3.57,7.840000000000001,-0.04,-0.07,0.06
0.09,2.85,7.09,-0.05,-0.2,-0.3
-0.36,2.55,6.9,0.31,-0.17,-0.52
-0.55,2.65,6.23,0.45,-0.06,-0.28
-2.09,1.72,6.640000000000001,0.37,0.28,-0.43
-3.65,1.26,4.840000000000001,1.1,-0.1,-0.75
-0.74,-1.83,9.88,0.07,0.07,0.0
-0.69,-1.52,9.870000000000001,-0.13,0.0,-0.1
-0.92,-2.24,9.88,0.37,0.16,-0.17
-1.31,-0.88,10.22,0.26,0.24,-0.08
-1.45,-0.99,10.1,-0.16,0.02,-0.24
-1.24,-1.46,9.940000000000001,-0.17,0.0,-0.17
-1.51,-1.54,10.06,-0.2,0.02,-0.1
-1.37,-2.03,9.55,0.11,-0.06,-0.17
-1.0,-0.12,9.66,0.0,-0.02,-0.17
-1.28,-1.06,9.790000000000001,0.2,0.01,-0.13
-18.63,8.83,14.45,-4.14,4.34,-2.31
-13.68,6.11,16.59,1.42,0.35,1.78
-9.7,3.94,15.11,-1.56,0.86,0.19
-8.16,-1.63,13.63,-2.09,1.1,-0.7
-7.25,0.83,11.280000000000001,-0.08,-0.62,-0.14
-6.36,1.93,10.600000000000001,-0.38,-0.63,0.23
-4.56,1.35,9.66,-0.37,-0.36,0.22
-4.09,-0.12,8.84,-0.67,-0.4,0.14
-3.58,1.23,8.89,-0.22,-0.31,-0.21
-2.96,1.54,8.13,-0.2,-0.4,-0.22
-10.65,11.7,2.6900000000000004,1.84,-3.08,-3.57
-10.84,12.14,0.6900000000000013,1.8,-3.31,-3.49
-12.15,12.26,-1.5099999999999998,2.21,-3.93,-3.01
-10.57,7.14,-1.8200000000000003,3.79,-3.73,-1.25
-14.45,11.43,-3.6799999999999997,3.07,-4.14,-0.24
-10.07,5.88,-3.6899999999999995,2.62,-3.74,0.15
-12.06,12.83,-6.479999999999999,2.99,-2.6,-0.12
-11.66,12.41,-6.869999999999999,4.37,-2.5,1.27
-11.64,13.81,-6.290000000000001,4.43,-3.27,4.38
6.09,11.96,-10.749999999999998,4.43,-2.18,4.38
-3.21,-0.64,9.610000000000001,0.83,-0.05,-0.08
-3.71,-1.11,9.33,1.01,-0.33,-0.25
-3.56,-0.35,8.440000000000001,1.43,-0.53,-0.44
-3.31,-0.23,7.920000000000001,1.38,-0.53,-0.77
-2.45,1.02,7.07,1.86,-0.83,-1.26
-3.53,2.04,5.7700000000000005,2.37,-1.11,-1.82
-1.61,4.34,5.2700000000000005,2.35,-1.44,-2.33
-2.29,4.34,4.170000000000001,2.64,-1.78,-2.87
-5.03,8.38,4.040000000000001,2.12,-2.06,-3.53
-6.89,10.31,2.62,2.95,-2.85,-4.31
-1.25,1.0,9.200000000000001,0.17,0.02,0.0
-1.28,0.86,9.81,0.06,0.05,0.0
-1.49,0.9,9.860000000000001,0.18,-0.01,0.03
-1.48,0.83,9.81,0.27,-0.09,0.0
-1.98,0.92,9.6,0.15,0.03,-0.05
-1.81,1.16,9.55,0.18,-0.11,0.03
-1.61,1.06,9.360000000000001,0.23,-0.19,-0.04
-1.84,1.17,9.31,0.23,-0.24,0.0
-1.95,1.03,9.02,0.46,-0.31,-0.05
-2.75,1.32,8.540000000000001,0.39,-0.22,-0.17
-4.53,-2.34,14.100000000000001,-0.5,-0.5,0.17
-4.1,-1.51,10.700000000000001,-0.1,-0.89,0.14
-2.77,-0.4,9.57,0.22,-0.68,0.21
-2.12,-1.28,8.82,0.07,-0.32,0.58
-2.09,-0.5,8.65,0.51,-0.07,0.65
-1.37,0.34,9.31,0.0,-0.07,0.0
-1.01,-1.03,9.030000000000001,-0.3,-0.29,-0.24
-3.58,1.23,9.81,0.04,-0.19,-0.45
-1.53,-0.54,9.34,-0.09,-0.15,-0.05
-0.99,0.06,8.870000000000001,0.18,-0.06,-0.24
-0.83,2.17,9.33,0.02,-0.03,0.07
-0.89,2.23,9.450000000000001,-0.02,-0.02,0.09
-1.13,1.79,9.18,0.07,-0.04,0.0
-1.12,2.02,9.16,0.08,-0.13,0.03
-1.32,2.12,8.98,0.16,-0.1,-0.04
-1.46,2.49,8.81,0.15,-0.09,0.0
-1.25,2.33,8.66,0.27,-0.22,0.05
-1.48,2.87,9.13,0.31,-0.17,0.18
-0.89,2.64,8.47,0.6,-0.51,0.24
-0.84,2.94,8.71,0.56,-0.34,0.16
-1.61,1.78,9.24,0.05,-0.11,0.0
-1.62,2.07,9.040000000000001,0.07,-0.01,-0.02
-1.4,2.04,8.72,0.06,-0.07,0.0
-1.56,2.06,8.73,0.07,0.02,0.03
-1.77,2.17,8.870000000000001,0.08,0.0,0.04
-1.75,1.58,8.88,0.21,-0.07,0.11
-1.69,2.09,9.100000000000001,0.25,-0.02,0.07
-1.56,1.81,9.27,0.16,0.0,0.07
-1.94,2.18,9.59,0.02,0.03,0.02
-2.1,1.9,9.66,0.19,-0.1,0.0
-1.39,1.34,9.110000000000001,0.17,-0.91,0.11
-0.3,3.89,6.66,0.77,-0.86,-0.02
0.33,3.31,7.11,0.23,-0.44,0.12
0.81,2.98,7.460000000000001,-0.45,-0.03,0.04
-0.16,3.26,8.01,-0.18,0.06,-0.05
-0.59,2.81,8.18,0.03,-0.29,0.0
-0.6,3.12,7.94,0.3,-0.2,0.04
-0.31,3.14,8.21,0.2,-0.09,0.03
-0.04,3.24,8.83,-0.09,0.16,0.01
-0.33,3.33,9.33,0.29,0.14,0.0
-20.43,5.63,16.62,-4.0,4.34,-1.34
-12.87,-0.92,15.58,-3.35,4.34,-2.47
-7.91,10.65,19.65,0.61,-0.15,0.05
-3.53,-3.23,14.89,0.1,1.06,0.7
-4.21,9.94,15.96,-0.42,0.92,-0.03
-4.41,-0.19,15.91,-2.38,-0.35,0.15
-2.3,0.52,12.47,0.15,-0.36,0.42
-2.59,1.03,10.15,1.31,-0.28,0.67
-0.94,3.49,9.23,0.82,-0.58,0.57
-0.02,3.35,8.850000000000001,0.7,-0.77,0.57
-11.6,11.17,-1.7899999999999991,3.85,-4.38,-0.02
-9.39,12.78,-2.8499999999999996,3.67,-4.38,1.93
-10.6,13.39,-3.5299999999999994,2.56,-4.38,3.4
-4.82,10.45,-3.49,2.24,-4.32,4.38
-0.77,11.48,-5.279999999999999,3.96,-3.79,4.38
0.15,11.25,-5.779999999999999,4.43,-1.91,3.26
1.1,7.78,-4.49,4.43,-1.07,3.57
-3.17,4.81,-6.519999999999998,4.43,-1.83,2.78
-1.05,1.92,-11.909999999999998,4.43,-2.78,0.45
-0.23,0.48,-13.17,3.82,-3.31,-1.42
-3.71,1.2,6.25,2.23,-0.73,0.02
-3.76,-0.48,4.0200000000000005,2.01,-1.14,-0.55
-2.67,2.89,2.8000000000000007,0.86,-1.14,-1.4
-3.68,4.71,5.250000000000001,1.9,-1.13,-1.67
-2.57,10.51,7.960000000000001,1.64,-0.88,-1.44
-1.26,8.41,7.09,1.27,-1.11,-1.75
0.87,6.9,6.280000000000001,1.23,-0.97,-2.54
-0.8,8.47,5.4,1.54,-0.51,-3.37
-1.83,7.39,4.640000000000001,1.58,-0.47,-3.2
-3.8,8.93,4.470000000000001,0.25,-0.1,-2.93
1.33,0.56,7.680000000000001,-0.18,-0.33,0.24
1.14,-0.83,7.57,-0.43,-0.28,0.38
1.06,-1.35,8.06,-0.66,-0.61,0.55
2.23,-1.7,8.58,-0.79,-0.88,0.24
3.02,-1.59,7.9,0.09,-0.65,-0.15
3.05,-1.5,8.17,0.22,0.11,-0.14
3.19,-0.17,9.09,-0.04,0.05,-0.13
2.83,-1.61,9.22,0.24,0.0,-0.07
2.88,-0.69,9.22,-0.23,-0.45,-0.04
3.73,-0.32,9.290000000000001,0.33,-0.51,-0.32
-1.96,3.61,6.870000000000001,0.26,-0.3,0.0
-2.49,3.65,6.66,0.43,-0.46,0.2
-3.47,4.25,6.23,1.04,-0.88,0.32
-2.7,4.07,6.5600000000000005,1.29,-1.08,0.42
-2.13,3.6,5.3500000000000005,1.22,-1.19,-0.09
-1.25,4.67,6.0200000000000005,0.81,-1.29,-0.54
-0.13,4.09,4.8100000000000005,0.98,-1.27,-1.33
0.08,5.38,5.28,0.77,-1.09,-2.04
-0.53,6.63,4.1000000000000005,1.05,-1.12,-2.66
-0.58,7.62,4.23,1.08,-1.33,-2.59
-20.43,16.67,14.89,-4.23,4.34,-2.07
-19.84,-14.2,15.05,-4.29,4.34,-0.57
-10.32,-3.35,19.200000000000003,3.36,0.97,2.13
-6.39,-13.4,16.78,0.47,2.58,0.84
-5.43,0.2,19.62,0.61,1.33,0.3
-6.08,-3.52,17.78,-0.78,0.3,0.52
-4.24,-0.39,13.18,0.21,-1.0,0.42
-2.93,-2.23,11.05,0.58,-0.86,0.51
-2.68,-0.32,9.33,0.3,-0.65,0.42
-1.77,-1.83,9.88,-0.04,-0.6,0.77
-2.62,1.29,9.26,0.15,-0.12,0.27
-2.84,1.46,9.15,0.11,-0.11,0.2
-2.58,0.89,9.24,0.0,-0.16,0.16
-2.64,1.15,9.16,0.13,-0.16,0.12
-2.59,1.28,9.110000000000001,0.16,-0.24,0.04
-2.45,1.89,8.610000000000001,0.51,-0.16,-0.13
-2.92,2.25,8.860000000000001,0.13,-0.2,0.13
-3.39,1.04,8.3,0.64,-0.38,0.26
-3.63,1.4,8.290000000000001,0.66,-0.52,0.21
-4.1,1.43,7.5600000000000005,0.97,-0.68,0.05
-10.49,-3.03,14.3,0.02,-0.04,0.29
-7.71,-0.43,11.63,-0.44,-0.85,0.03
-5.69,-0.68,8.370000000000001,-0.38,-0.81,-0.26
-4.85,-2.01,8.110000000000001,-0.11,-0.59,-0.18
-4.32,-0.02,7.430000000000001,0.11,-0.59,-0.12
-4.16,-0.06,8.01,0.07,-0.6,0.04
-3.29,0.08,8.06,0.32,-0.39,0.21
-2.86,-0.16,8.360000000000001,0.3,-0.35,0.37
-2.37,0.57,9.290000000000001,0.31,-0.2,0.12
-2.26,1.1,9.58,-0.66,0.07,0.21
-3.19,1.58,9.02,0.1,-0.06,0.0
-2.98,1.51,9.13,0.14,-0.06,0.05
-3.38,1.8,9.190000000000001,-0.01,-0.08,0.06
-3.58,1.35,9.32,-0.13,-0.18,0.02
-3.4,0.63,8.860000000000001,0.06,-0.21,0.05
-3.32,1.15,9.0,0.2,-0.27,0.08
-3.16,1.27,8.55,0.45,-0.44,0.13
-3.96,1.17,8.02,0.22,-0.6,-0.09
-4.86,-0.3,6.530000000000001,0.73,-1.18,-0.1
-6.19,-0.37,6.030000000000001,1.64,-1.93,-0.31
-1.65,2.46,9.100000000000001,0.29,-0.01,0.01
-2.22,2.34,10.290000000000001,0.33,0.18,-0.01
-2.57,2.26,10.26,0.25,-0.03,0.09
-2.41,2.38,9.57,0.4,-0.33,-0.05
-1.82,2.87,8.93,0.41,-0.4,0.0
-1.2,3.31,8.17,0.53,-0.29,-0.09
-1.93,5.14,6.880000000000001,0.6,-0.29,-0.02
-0.59,4.31,6.32,1.06,-0.41,0.47
0.39,3.1,8.15,-0.06,0.09,0.54
-1.55,2.13,8.870000000000001,0.69,0.13,0.19
-2.03,1.83,8.950000000000001,0.14,-0.15,0.0
-1.97,1.94,9.18,0.11,-0.03,-0.02
-2.08,1.97,9.24,0.1,-0.13,0.0
-1.92,1.89,9.15,0.13,-0.15,-0.02
-1.78,2.2,9.05,0.16,-0.14,-0.05
-1.97,1.92,9.27,0.13,-0.17,0.0
-2.22,1.97,8.92,0.17,-0.26,-0.06
-2.88,1.58,8.58,0.34,-0.39,-0.08
-3.37,1.4,7.960000000000001,0.63,-0.68,-0.15
-3.75,2.17,7.880000000000001,1.05,-0.84,-0.18
-5.08,3.18,8.93,-0.14,-1.04,-0.22
-3.95,2.75,7.300000000000001,0.0,-1.1,-0.54
-3.44,1.87,6.83,-0.04,-0.86,-0.16
-2.24,2.05,7.640000000000001,0.01,-0.47,-0.22
