acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.06,-0.83,10.47,0.66,-0.87,-0.03
-8.09,-0.79,8.52,0.75,-1.09,0.05
-7.87,0.38,7.15,0.9,-0.98,-0.06
-8.68,1.25,5.98,0.72,-0.97,-0.13
-7.94,1.82,5.380000000000001,0.4,-0.78,-0.28
-8.91,2.14,5.640000000000001,0.49,-0.82,-0.01
-7.66,2.41,5.960000000000001,0.18,-0.79,0.19
-8.61,1.99,6.44,0.13,-0.95,0.18
-6.91,1.92,5.710000000000001,0.47,-1.18,0.11
-6.25,1.76,7.5200000000000005,0.74,-1.15,0.4
-3.81,4.06,6.73,0.93,-1.68,0.27
-2.87,4.68,6.970000000000001,0.93,-1.43,0.46
-2.24,5.0,6.86,0.47,-1.18,0.42
-1.34,4.94,6.66,0.11,-1.05,0.38
-0.64,4.9,6.34,0.19,-0.89,0.23
-0.45,5.44,6.7700000000000005,0.21,-0.82,0.3
0.12,5.04,6.82,0.14,-0.78,0.17
0.08,5.43,6.760000000000001,0.35,-0.8,0.14
0.35,6.14,6.86,0.37,-0.79,0.15
0.95,5.96,7.280000000000001,0.26,-0.71,0.42
-15.81,-2.69,15.06,-0.39,0.68,0.5
-12.43,-1.19,10.370000000000001,0.23,-0.75,0.0
-11.67,-0.91,8.75,0.73,-1.6,0.04
-10.18,-0.21,8.100000000000001,1.39,-1.82,0.21
-10.21,0.85,6.4,1.2,-2.33,0.24
-8.68,0.78,6.1000000000000005,1.53,-2.3,0.56
-7.63,1.74,5.53,1.66,-2.14,0.67
-6.34,2.35,5.720000000000001,1.19,-1.64,0.45
-5.26,2.9,5.45,0.75,-1.59,0.25
-4.96,3.4,6.17,0.48,-1.24,0.17
-20.43,18.07,20.04,-4.29,4.34,-1.92
-20.43,-1.08,10.56,-0.98,4.34,0.51
-20.43,2.57,12.59,-2.69,4.34,1.26
-20.43,-6.18,11.040000000000001,4.06,0.72,1.87
-19.59,1.9,13.66,0.7,1.28,1.45
-16.14,0.01,13.48,-1.25,0.92,0.46
-12.89,-1.47,7.83,-0.4,-0.94,0.06
-12.66,-0.23,7.550000000000001,1.16,-1.75,0.41
-10.31,0.67,6.09,1.12,-2.19,0.23
-9.42,1.21,6.380000000000001,1.01,-2.04,0.26
-1.5,8.17,5.57,-0.38,-1.05,0.66
-0.7,7.77,5.19,-0.89,-1.18,0.74
0.14,7.07,5.6000000000000005,-0.91,-1.29,0.78
0.81,6.07,5.630000000000001,-0.71,-1.24,0.74
1.48,6.21,5.0200000000000005,-0.83,-1.39,0.6
2.08,5.26,4.920000000000001,-0.76,-1.37,0.33
2.4,4.6,5.180000000000001,-0.84,-1.37,0.18
2.94,4.57,4.970000000000001,-0.53,-1.16,0.13
3.44,4.26,5.220000000000001,-0.53,-1.21,0.12
4.01,4.67,5.98,-0.61,-1.09,-0.02
-7.11,2.5,5.98,1.0,-1.83,0.21
-7.09,2.43,7.57,1.43,-1.29,0.38
-5.01,2.88,5.180000000000001,1.01,-1.36,0.16
-5.92,3.24,6.640000000000001,0.68,-0.78,0.34
-4.49,3.82,5.170000000000001,0.43,-0.57,0.0
-5.34,3.55,6.050000000000001,0.57,-0.52,0.07
-5.2,3.96,6.42,0.83,-0.52,-0.05
-4.94,4.93,6.450000000000001,0.61,-0.42,-0.03
-5.05,5.22,6.24,0.66,-0.61,0.06
-4.52,5.25,6.25,0.49,-0.53,0.22
-20.43,6.03,-10.67,1.6,4.34,-4.34
-20.43,-11.21,-3.4499999999999993,1.16,4.34,1.22
-20.43,18.07,20.04,1.94,4.34,-3.57
-20.43,-2.24,4.98,-4.29,4.34,4.38
-20.43,-11.96,0.7599999999999998,0.01,4.34,1.7
-20.43,-21.15,15.61,3.32,4.34,4.38
-20.43,-3.22,6.130000000000001,-1.08,0.94,2.27
-17.52,-6.81,10.82,2.59,0.94,4.38
-14.05,2.27,14.170000000000002,1.38,-0.12,1.01
-12.73,0.44,13.15,0.68,-0.24,-0.03
7.85,1.75,4.250000000000001,-1.66,-1.63,0.15
7.26,1.67,4.090000000000001,-1.6,-1.76,0.21
8.18,1.54,2.8000000000000007,-1.54,-1.73,0.22
8.51,0.49,2.49,-1.58,-1.99,0.43
8.7,0.47,1.3900000000000006,-1.7,-2.3,0.42
9.86,-0.4,-0.20999999999999908,-1.19,-2.35,0.34
9.32,-0.01,-1.17,-1.5,-2.7,0.43
9.31,-0.05,-3.119999999999999,-1.06,-3.06,0.26
9.3,-0.39,-7.179999999999998,-0.56,-4.09,0.22
7.95,-0.14,-10.33,0.12,-4.38,0.27
-0.4,6.38,4.53,0.71,-0.43,0.05
-0.88,6.58,4.670000000000001,0.56,-0.58,0.04
-0.02,6.5,4.390000000000001,0.58,-0.51,-0.05
0.22,6.79,4.32,0.48,-0.45,-0.1
-0.1,6.59,3.8500000000000005,0.38,-0.28,-0.21
-0.21,7.26,3.4800000000000004,0.52,-0.26,-0.16
-0.37,7.14,3.6500000000000004,0.11,-0.48,-0.13
-0.32,7.17,3.83,0.29,-0.53,-0.14
-0.39,7.58,3.670000000000001,0.32,-0.54,-0.21
