acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-14.32,3.47,7.450000000000001,0.55,-2.21,0.29
-13.14,3.43,5.15,0.74,-3.15,0.99
-12.25,2.82,3.3900000000000006,0.67,-4.17,1.52
-11.17,2.6,2.0200000000000005,1.52,-4.16,1.74
-6.94,3.03,3.000000000000001,1.4,-2.35,1.24
-5.84,4.07,3.0500000000000007,0.1,-2.06,0.62
-5.24,3.74,4.300000000000001,0.67,-1.84,0.84
-3.9,4.94,4.65,0.67,-1.8,0.55
-2.96,5.57,4.86,0.26,-1.54,0.55
-2.33,5.23,5.32,-0.07,-1.3,0.42
-20.43,9.04,13.690000000000001,2.24,3.61,0.92
-20.43,2.08,12.010000000000002,0.08,2.0,-0.08
-20.03,3.21,11.31,1.15,1.2,0.01
-15.37,3.14,10.42,1.49,-0.21,0.94
-13.26,3.61,8.870000000000001,0.68,-1.96,0.44
-12.44,5.51,6.930000000000001,1.04,-2.75,1.19
-12.56,4.56,6.280000000000001,0.99,-3.72,2.45
-7.96,3.52,4.630000000000001,1.28,-3.48,1.85
-6.54,5.64,5.010000000000001,-0.03,-2.39,1.34
-3.38,4.47,5.2,0.11,-2.38,0.93
-20.43,2.09,11.940000000000001,1.02,2.3,0.09
-18.57,3.4,11.18,1.02,1.1,0.27
-15.51,1.64,10.46,1.24,-1.34,0.68
-12.18,4.5,7.030000000000001,1.06,-1.84,0.66
-11.51,3.44,5.680000000000001,1.02,-2.55,1.28
-11.52,4.22,4.57,0.62,-2.61,1.43
-8.89,2.99,2.5900000000000007,1.03,-3.63,1.65
-6.32,3.88,4.33,0.75,-1.7,1.24
-5.52,4.18,4.960000000000001,0.45,-2.0,0.59
-4.35,5.52,5.66,1.29,-2.16,0.79
-17.16,3.49,10.91,1.5,-0.68,0.51
-13.49,4.74,6.390000000000001,1.0,-2.18,1.09
-11.78,3.63,4.23,0.79,-2.76,1.42
-11.03,4.14,2.8600000000000003,0.42,-2.97,1.09
-10.68,3.96,2.7300000000000004,0.37,-3.08,1.79
-9.0,2.21,3.5600000000000005,1.49,-2.9,1.96
-6.52,4.28,3.62,1.32,-2.81,1.25
-5.0,5.05,3.9800000000000004,0.68,-2.13,1.13
-2.82,5.06,3.9400000000000004,0.34,-2.13,1.21
-0.7,5.27,4.5200000000000005,0.53,-1.73,0.95
-20.43,3.63,15.4,0.94,2.02,0.15
-18.91,3.76,14.600000000000001,0.71,0.02,0.46
-14.2,3.17,10.88,0.66,-1.92,0.76
-12.97,3.71,6.36,0.64,-3.21,1.04
-10.77,4.79,5.36,-0.22,-2.75,1.27
-10.89,2.93,4.2,-0.35,-3.76,1.34
-7.34,2.96,5.15,0.53,-2.9,1.26
-6.07,4.91,6.0600000000000005,0.01,-2.38,1.09
-4.36,4.34,6.800000000000001,0.22,-1.98,1.1
-1.59,4.11,6.49,0.08,-1.99,1.02
-13.3,4.77,7.180000000000001,0.65,-1.16,0.4
-11.38,3.53,5.0600000000000005,0.15,-1.94,0.77
-11.01,3.52,4.65,0.15,-2.08,0.87
-10.01,3.54,3.16,-0.58,-2.37,1.13
-9.94,2.47,2.95,-0.34,-2.75,1.14
-6.99,1.72,4.1000000000000005,0.8,-2.21,1.41
-5.63,3.09,5.140000000000001,0.7,-1.64,0.77
-5.13,4.2,5.19,0.3,-1.53,0.46
-4.29,4.52,5.41,0.52,-1.75,0.71
-2.37,5.25,6.07,0.65,-1.26,0.86
-19.48,4.21,11.96,0.06,1.2,-0.76
-16.66,3.04,9.39,1.07,-1.64,0.99
-12.19,4.03,5.37,0.21,-2.5,1.2
-11.37,2.21,4.420000000000001,-0.77,-2.59,0.77
-9.32,2.15,3.3000000000000007,-0.44,-2.85,0.86
-9.41,1.71,4.16,0.51,-2.3,1.07
-7.03,2.64,4.28,0.74,-2.41,0.79
-5.84,3.6,4.98,0.33,-1.64,0.49
-4.82,4.61,5.9,0.18,-0.98,0.19
-4.72,5.4,6.59,0.97,-1.18,0.34
-20.43,0.09,11.57,2.85,4.34,1.13
-20.43,5.23,13.82,1.7,2.58,-0.33
-20.18,3.76,13.870000000000001,0.21,1.37,-0.04
-16.43,1.91,12.780000000000001,1.3,-0.79,0.71
-12.5,3.42,9.15,0.9,-2.45,0.39
-11.75,3.36,6.82,-0.14,-2.48,0.6
-9.89,1.54,5.470000000000001,0.04,-3.03,1.05
-9.91,2.34,5.49,0.97,-2.96,1.26
-6.13,3.17,4.710000000000001,1.13,-3.1,0.95
-4.18,4.3,5.84,0.4,-2.1,0.72
3.82,4.18,6.510000000000001,-0.04,-0.19,0.05
3.93,4.41,6.430000000000001,-0.74,-0.17,-0.02
3.95,3.63,6.640000000000001,-0.22,-0.34,-0.09
4.17,3.86,6.800000000000001,-0.28,-0.32,0.02
3.93,3.49,6.66,-0.71,-0.31,-0.17
3.35,1.15,7.34,-0.43,-0.45,0.02
3.33,1.71,7.680000000000001,-0.24,-0.78,-0.58
4.54,5.78,7.300000000000001,-0.91,-0.92,-0.95
4.3,4.11,7.24,-0.58,-1.13,-0.63
5.2,4.23,5.07,-0.22,-1.3,-0.4
-1.62,5.01,5.7700000000000005,-0.14,-0.84,-0.05
-1.29,3.04,7.65,0.23,-0.13,0.14
0.1,4.95,7.470000000000001,-0.26,-0.76,0.02
-1.0,3.13,8.49,-0.29,-0.53,0.06
-2.08,3.56,9.110000000000001,0.2,-0.83,0.06
-1.08,4.02,8.05,0.53,-1.0,0.1
-1.14,4.97,8.350000000000001,0.36,-0.62,-0.06
-1.03,4.63,8.13,0.21,-0.71,0.22
-0.73,5.65,8.24,0.31,-0.45,0.52
0.11,4.52,7.69,0.08,-0.94,0.43
-14.59,3.06,11.0,1.09,-1.3,0.47
-12.21,3.07,7.130000000000001,0.35,-2.26,0.62
-9.84,2.11,5.44,0.17,-2.06,0.84
-8.22,2.2,4.720000000000001,-0.34,-1.57,0.35
-8.27,1.83,4.880000000000001,-0.06,-1.62,0.36
-7.63,2.49,4.41,0.38,-1.84,0.45
-6.42,3.9,3.040000000000001,0.11,-2.2,0.38
-4.99,2.88,5.12,0.05,-1.13,0.59
-4.63,2.24,7.33,0.29,-1.24,0.49
-3.44,2.85,8.09,0.66,-1.39,0.32
-20.43,18.07,-1.1899999999999995,4.43,4.34,0.7
-20.43,1.56,8.290000000000001,2.36,4.34,-1.03
-20.43,-0.4,10.1,2.79,3.18,3.75
-20.43,3.21,9.68,3.0,3.06,0.9
-20.43,2.89,14.100000000000001,1.31,1.89,0.54
-18.12,2.47,11.83,1.05,-0.85,0.86
-14.71,2.8,8.88,0.8,-2.41,0.71
-12.09,4.34,5.61,0.51,-3.33,0.61
-11.4,4.83,4.380000000000001,0.5,-3.41,0.83
-10.52,4.61,4.260000000000001,0.9,-3.79,1.62
3.14,4.39,7.430000000000001,-1.1,-0.77,-0.32
3.01,3.2,7.36,-0.33,-0.7,-0.06
2.89,4.08,7.3100000000000005,0.1,-0.51,-0.23
3.33,3.83,7.19,-0.4,-0.58,-0.24
3.36,3.83,7.4,-0.12,-0.39,-0.31
3.89,3.67,7.07,-0.25,-0.56,-0.44
3.48,4.13,7.09,-0.19,-0.65,-0.25
3.52,3.9,6.530000000000001,-0.32,-0.44,-0.41
3.06,3.94,6.7700000000000005,-0.16,-0.33,-0.33
3.29,3.76,6.99,-0.18,-0.18,-0.43
-2.55,4.49,4.840000000000001,0.44,-1.41,0.96
-1.49,3.59,5.170000000000001,0.78,-1.58,1.15
0.69,4.26,4.4,0.83,-1.4,0.29
1.64,4.45,3.95,0.86,-1.42,0.47
2.66,5.14,3.95,0.37,-0.72,0.08
3.36,4.95,3.7600000000000007,0.61,-1.45,0.09
3.61,6.47,4.0200000000000005,0.2,-0.93,-0.33
3.37,5.62,2.8500000000000005,0.21,-1.73,-0.34
3.79,6.36,2.920000000000001,0.27,-0.83,-0.29
4.03,7.3,2.7800000000000002,-0.4,-0.76,-0.19
1.82,6.81,2.040000000000001,-0.79,-0.01,0.2
2.57,7.31,1.3900000000000006,-0.65,-0.28,0.0
2.19,5.86,1.2100000000000009,0.06,-0.18,-0.19
4.55,7.06,1.0899999999999999,-0.13,-0.12,0.09
3.52,7.95,1.9100000000000001,-0.49,0.3,-0.33
3.07,7.89,2.49,-0.03,0.17,-0.34
2.37,8.49,3.1000000000000005,-0.42,0.07,-0.14
2.01,7.1,3.2700000000000005,-0.91,-0.19,-0.13
1.52,7.34,3.790000000000001,-0.47,-0.49,-0.11
1.48,7.7,3.710000000000001,-0.49,-0.9,0.0
-20.43,6.76,16.45,0.43,1.32,-0.28
-17.3,3.43,14.66,0.09,0.35,0.08
-14.51,3.05,11.42,0.77,-2.09,0.63
-10.72,3.31,6.84,0.25,-2.59,0.69
-9.13,1.81,6.36,0.29,-2.46,0.42
-8.21,2.75,6.08,0.14,-2.0,0.42
-6.65,1.74,5.28,0.84,-2.4,0.63
-6.07,2.54,5.7,1.83,-1.88,0.49
-4.05,3.6,5.290000000000001,1.79,-2.06,0.65
-3.24,3.84,5.16,1.49,-1.84,0.2
2.94,6.92,3.4300000000000006,0.2,-0.97,-0.02
2.52,7.1,3.6900000000000004,-0.3,-0.58,0.03
2.77,5.91,3.710000000000001,-0.44,-0.42,-0.23
2.33,7.08,3.95,0.04,-0.72,-0.12
2.77,7.4,3.3500000000000005,-0.31,-0.64,-0.25
2.52,7.02,3.62,-0.07,-0.65,-0.06
3.08,6.88,3.290000000000001,0.08,-0.6,0.0
2.65,7.26,3.500000000000001,-0.17,-0.68,-0.04
2.94,6.53,3.1800000000000006,-0.04,-0.69,0.0
2.86,6.79,3.5300000000000002,-0.05,-0.74,0.06
-5.92,2.62,4.430000000000001,1.72,-1.48,0.46
-5.95,3.44,4.840000000000001,1.75,-1.34,0.42
-4.62,4.02,4.78,2.03,-1.24,0.55
-3.94,5.38,5.19,1.8,-1.14,0.59
-2.94,6.11,4.53,1.31,-0.89,0.55
-2.19,6.37,4.11,1.18,-0.82,0.61
-2.1,7.44,3.3400000000000007,1.11,-0.79,0.47
-1.88,8.18,2.8100000000000005,0.71,-0.8,0.59
-1.0,7.29,3.0900000000000007,0.4,-0.65,0.74
-0.38,7.18,2.8600000000000003,0.33,-0.92,0.58
-20.43,0.48,8.22,-0.77,2.17,3.18
-20.43,-1.39,11.190000000000001,3.67,2.85,1.78
-20.43,4.72,14.0,0.71,1.28,0.11
-18.42,1.1,12.88,0.53,0.39,0.25
-14.61,3.17,10.950000000000001,1.12,-1.74,0.22
-11.46,4.49,7.5200000000000005,0.36,-1.94,0.3
-10.33,2.55,6.8100000000000005,0.47,-2.67,0.58
-8.86,3.01,4.380000000000001,0.91,-3.19,0.48
-8.37,2.7,4.170000000000001,1.3,-3.25,0.96
-6.2,3.1,4.460000000000001,2.27,-2.8,1.22
3.49,6.75,0.9199999999999999,-0.11,-0.48,0.03
3.71,7.06,0.75,0.06,-0.28,-0.1
3.25,7.63,1.0999999999999996,-0.08,-0.42,0.02
3.44,7.14,0.6500000000000004,0.02,-0.22,-0.04
3.32,7.44,0.5600000000000005,-0.05,-0.22,-0.04
3.17,7.55,0.620000000000001,-0.01,-0.11,-0.03
3.1,7.49,0.7200000000000006,-0.01,-0.02,-0.05
3.28,7.51,0.870000000000001,-0.03,-0.01,0.01
3.01,7.6,0.7800000000000011,-0.04,-0.01,0.0
3.08,7.41,0.8100000000000005,-0.02,0.0,0.03
-9.7,3.51,6.8500000000000005,0.48,-3.11,0.95
-8.98,3.5,5.36,1.05,-3.09,1.3
-6.81,3.39,5.37,1.54,-2.88,1.67
-5.35,3.42,4.640000000000001,1.85,-2.86,0.73
-2.33,4.87,3.3100000000000005,1.46,-2.03,0.71
-1.97,5.42,4.11,1.45,-1.12,0.67
0.28,5.75,3.500000000000001,1.06,-1.39,0.57
0.38,6.31,2.7300000000000004,0.76,-1.36,0.45
2.07,5.81,2.0200000000000005,0.15,-0.82,0.38
1.65,6.8,2.9300000000000006,0.45,-0.53,0.26
-20.43,18.07,6.430000000000001,0.07,4.34,-1.58
-20.43,-5.93,11.43,2.76,4.34,-2.49
-20.43,-1.84,15.08,0.12,0.18,3.07
-20.43,-2.59,11.0,2.36,0.62,1.23
-15.82,1.71,12.02,0.86,1.71,0.16
-15.02,2.09,12.55,1.19,0.15,0.09
-12.08,3.52,10.270000000000001,0.86,-1.08,0.6
-10.41,2.06,7.970000000000001,0.25,-1.89,0.13
-10.09,3.01,7.050000000000001,-0.14,-2.49,0.03
-8.26,2.16,6.23,-0.1,-2.65,0.47
1.59,-0.19,5.44,-0.86,-2.26,-0.07
1.96,-0.2,6.65,-0.49,-1.64,0.17
2.97,0.6,5.98,-0.13,-1.0,-0.03
3.8,0.35,7.720000000000001,-0.1,-0.79,0.34
4.76,-0.09,7.48,-0.21,-0.78,0.05
5.06,-0.05,8.26,-0.15,-1.17,0.27
5.56,-1.22,7.800000000000001,-0.42,-0.83,0.01
4.99,-1.24,7.430000000000001,-0.27,-1.4,0.0
5.59,-1.14,6.91,-0.11,-1.12,-0.49
6.62,-0.61,6.33,-0.01,-1.22,-0.43
-20.43,18.07,3.5500000000000007,3.6,4.34,-0.76
-20.43,-1.4,11.17,2.93,4.34,1.4
-20.43,-1.72,12.86,1.9,4.34,1.69
-20.43,0.72,15.38,1.53,2.16,0.92
-20.43,2.25,14.38,1.67,0.82,0.56
-16.15,1.3,12.370000000000001,2.04,-1.33,0.66
-11.65,3.94,9.530000000000001,1.49,-1.8,0.69
-10.89,3.21,7.050000000000001,0.66,-3.22,0.76
-10.32,3.46,5.8100000000000005,0.63,-3.35,1.01
-8.1,3.05,3.9700000000000006,1.16,-3.91,1.3
4.26,3.41,6.66,-0.1,-0.36,-0.11
4.2,4.27,6.210000000000001,-0.05,-0.34,-0.36
4.31,4.26,6.66,-0.23,-0.53,-0.38
4.21,4.29,6.2700000000000005,-0.05,-0.47,-0.46
4.23,4.26,6.540000000000001,-0.29,-0.59,-0.34
4.12,4.31,6.720000000000001,-0.5,-0.54,-0.47
4.2,4.77,7.24,-0.38,-0.56,-0.28
4.26,4.88,7.5200000000000005,-0.59,-0.6,-0.25
4.1,5.09,7.57,-0.69,-0.85,-0.07
4.79,4.3,7.11,-0.82,-0.93,-0.02
3.92,3.94,6.760000000000001,0.21,-0.92,-0.35
4.39,4.04,6.8500000000000005,0.3,-0.56,-0.01
3.75,3.82,6.970000000000001,-0.39,-0.53,-0.05
4.43,3.7,6.510000000000001,0.03,-0.7,-0.37
4.8,3.59,6.69,0.0,-0.3,-0.03
4.63,3.82,6.970000000000001,-0.67,-0.13,-0.29
4.45,3.16,7.380000000000001,-0.45,-0.29,-0.15
4.76,3.51,6.550000000000001,-0.44,-0.63,-0.35
5.03,3.29,6.58,-0.68,-0.56,-0.24
5.08,2.84,6.700000000000001,-0.63,-0.51,-0.19
-5.88,2.27,5.130000000000001,0.44,-2.82,1.11
-3.82,3.31,5.53,0.3,-1.23,0.87
-2.64,4.51,6.220000000000001,-0.44,-1.06,0.61
-1.65,3.55,6.23,-0.25,-0.81,0.56
-0.82,3.8,7.140000000000001,-0.34,-0.66,0.92
-0.49,3.76,8.48,-0.31,0.23,0.63
0.36,2.08,8.48,-0.33,-0.5,0.36
1.24,2.44,9.16,-0.1,-0.83,-0.18
2.13,3.01,8.67,-0.13,-1.02,-0.21
2.13,2.02,9.040000000000001,-0.4,-1.06,-0.41
-17.38,0.52,12.13,0.84,-0.65,0.43
-13.78,2.26,9.43,0.9,-2.05,0.5
-11.89,2.01,7.140000000000001,0.69,-3.03,0.93
