acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
9.32,-1.18,-14.12,3.62,-2.22,1.54
9.27,-0.66,-16.29,3.59,-1.98,1.63
9.48,-0.39,-18.25,3.43,-1.80,1.43
10.39,-0.67,-19.61,3.26,-1.51,0.97
11.43,-1.49,-19.61,3.19,-1.13,0.41
12.87,-1.67,-19.61,3.27,-0.48,-0.20
13.34,-1.26,-18.99,3.27,0.52,-0.73
13.05,-0.23,-19.18,2.95,1.56,-1.17
11.80,-1.05,-18.36,2.37,2.66,-1.40
10.31,-0.82,-17.16,1.78,3.43,-1.74
9.73,-0.31,-15.78,1.49,4.19,-2.21
8.17,-0.54,-15.34,1.00,4.37,-2.70
6.21,-1.04,-15.04,0.29,4.37,-3.12
5.14,-1.14,-14.05,-0.70,4.37,-3.45
3.72,-1.47,-10.90,-1.71,4.37,-3.76
1.67,-1.82,-7.95,-2.42,4.37,-4.10
-1.41,-2.95,-6.40,-2.92,4.37,-4.37
-5.64,-4.10,-6.18,-3.05,4.37,-4.37
-10.01,-5.14,-5.78,-2.87,4.37,-4.37
-13.57,-5.77,-4.37,-2.41,4.37,-4.37
-19.61,-6.20,1.21,-1.56,4.37,-4.37
-19.61,-5.19,4.18,-0.23,4.37,-3.93
-19.61,0.73,6.10,0.79,4.37,-4.37
-19.61,-5.87,1.45,1.54,4.37,-3.57
-19.61,-3.59,9.88,1.30,4.37,-3.13
-19.61,0.39,14.60,0.75,4.37,-2.13
-16.06,3.52,12.96,0.50,4.37,-2.05
-13.78,4.83,13.56,0.64,3.55,-1.89
-7.34,5.39,11.74,0.95,2.33,-2.28
-3.66,7.47,11.79,1.37,1.21,-2.77
-0.42,10.29,13.70,1.82,1.37,-3.35
0.96,10.81,19.08,1.29,1.87,-3.19
1.35,10.17,15.96,0.71,2.30,-2.77
-1.20,10.78,15.91,0.06,2.44,-1.97
-1.68,10.30,13.47,-0.84,2.46,-1.44
-2.01,10.07,11.13,-1.70,2.05,-0.95
-3.48,8.61,8.51,-2.58,1.33,-0.77
-3.02,4.71,10.81,-2.93,0.69,-0.48
-2.05,3.53,11.41,-2.67,0.28,-0.12
-0.88,2.47,11.95,-2.34,0.29,0.05
0.13,0.54,11.20,-1.12,0.38,0.23
-0.51,1.43,10.84,-0.60,0.03,0.20
0.34,2.68,12.10,-0.28,-0.20,0.21
1.42,3.53,13.50,0.01,-0.11,0.18
1.14,3.56,13.45,0.21,0.14,0.16
0.68,3.24,11.83,0.30,0.15,0.24
0.25,3.82,11.05,0.23,0.04,0.32
0.45,4.32,10.51,0.02,-0.14,0.36
0.72,4.73,10.48,-0.18,-0.26,0.34
0.81,4.25,10.48,-0.31,-0.36,0.32
0.78,3.23,10.23,-0.37,-0.47,0.35
1.13,2.91,10.31,-0.33,-0.53,0.44
1.19,2.79,10.03,-0.18,-0.56,0.47
1.41,2.12,10.03,-0.06,-0.70,0.53
2.54,2.46,10.86,0.10,-0.67,0.61
2.78,3.40,10.42,0.27,-0.58,0.50
2.76,3.58,9.83,0.33,-0.51,0.34
2.67,3.71,9.42,0.31,-0.50,0.22
2.59,3.76,9.52,0.29,-0.45,0.15
2.35,3.24,9.16,0.24,-0.43,0.20
11.13,-3.34,-15.92,3.13,-0.86,1.15
10.51,-3.33,-16.05,3.51,-0.51,0.56
9.42,-3.28,-17.57,3.80,-0.10,0.04
8.10,-2.81,-17.80,4.04,0.27,-0.41
6.78,-2.87,-19.61,4.18,0.52,-0.78
6.31,-2.71,-19.61,4.22,0.67,-1.09
6.92,-2.87,-19.61,4.19,0.84,-1.32
8.05,-2.16,-19.61,4.00,1.08,-1.43
10.22,-0.65,-19.61,3.53,1.49,-1.73
11.74,0.75,-19.61,2.95,2.38,-1.94
12.97,2.06,-19.56,2.24,3.37,-2.41
12.43,2.17,-18.05,1.34,4.37,-2.86
10.93,1.84,-15.94,0.36,4.37,-3.29
8.64,1.17,-14.55,-0.52,4.37,-3.76
6.21,0.39,-13.78,-1.25,4.37,-4.15
3.23,-0.33,-11.10,-1.73,4.37,-4.37
-0.45,-0.51,-9.68,-2.15,4.37,-4.37
-5.46,-1.35,-6.96,-2.34,4.37,-4.37
-9.13,-1.30,-5.89,-2.37,4.37,-4.21
-13.64,-0.97,-3.91,-2.38,4.37,-3.97
-16.72,1.28,-0.39,-2.58,4.37,-3.98
-8.36,3.77,2.18,-2.82,4.37,-4.30
-15.10,1.65,6.87,-3.72,4.37,-4.37
-19.61,-2.38,5.71,-3.79,4.37,-4.37
-19.61,-7.49,3.65,-4.21,4.37,-4.37
-19.61,-8.15,6.71,-4.37,4.37,-4.37
-19.61,-8.39,15.25,-4.01,4.37,-4.33
-19.61,-9.84,15.82,-2.48,4.37,-4.22
-17.25,-8.09,17.33,-0.43,4.37,-3.43
-11.68,-2.52,18.05,1.73,3.67,-2.91
-7.36,5.18,17.65,2.61,2.74,-1.86
1.68,12.97,19.29,3.33,3.89,-1.81
2.28,14.50,19.56,2.74,3.47,-0.90
-3.78,12.93,15.04,2.42,2.36,-0.50
-5.63,8.56,13.06,1.18,1.35,0.30
-4.29,7.41,9.91,-0.26,0.31,0.76
-4.00,5.06,7.54,-1.78,-0.70,1.30
-3.84,2.96,6.98,-2.95,-1.17,1.72
-0.55,2.17,7.89,-3.57,-1.87,1.67
3.17,-0.50,9.78,-3.47,-1.86,1.46
4.54,-1.44,11.82,-0.69,1.35,0.08
3.08,-1.12,11.62,-0.17,1.50,0.04
2.26,0.08,9.94,0.33,1.12,-0.07
0.65,0.54,9.56,0.60,0.44,-0.14
0.48,0.81,10.46,0.66,0.02,-0.02
2.05,2.40,11.54,0.56,-0.12,0.13
3.54,4.53,11.62,0.49,-0.05,0.06
2.93,4.28,10.61,0.34,-0.09,-0.01
2.77,3.38,10.22,0.21,-0.17,0.02
3.34,3.35,10.83,0.30,-0.15,0.09
3.53,3.13,10.25,0.39,-0.06,0.20
3.25,3.51,9.90,0.30,0.00,0.30
3.13,4.05,9.40,0.13,-0.01,0.31
2.71,3.23,8.63,-0.19,-0.10,0.39
3.16,3.57,8.62,-0.46,-0.24,0.43
3.64,3.42,8.78,-0.58,-0.33,0.40
3.47,2.25,8.99,-0.65,-0.39,0.42
4.19,2.89,9.25,-0.57,-0.43,0.41
4.35,2.58,9.51,-0.47,-0.34,0.36
4.00,2.30,9.11,-0.37,-0.39,0.35
7.66,-0.66,-17.45,4.05,-1.68,0.94
7.38,-1.01,-18.57,4.22,-1.23,0.85
7.11,-0.87,-19.61,4.26,-0.81,0.75
7.70,-1.52,-19.61,4.14,-0.41,0.49
8.38,-1.82,-19.61,4.00,0.09,0.08
10.07,-0.93,-19.61,3.87,0.57,-0.53
8.87,-1.57,-19.61,3.98,1.05,-1.14
9.19,-1.71,-19.61,3.94,1.63,-1.91
9.53,-0.80,-19.61,3.64,2.45,-2.46
9.49,-0.22,-19.61,3.04,3.39,-2.82
11.19,2.28,-19.61,2.02,3.98,-3.09
6.62,0.00,-16.04,1.11,4.37,-3.12
7.92,-0.92,-15.66,0.04,4.37,-2.98
8.54,-0.15,-13.21,-0.73,4.37,-3.29
7.32,-0.78,-11.37,-1.52,4.37,-3.89
5.95,-1.13,-10.61,-2.35,4.37,-4.37
2.16,-1.62,-8.55,-2.84,4.37,-4.37
-2.45,-3.01,-5.73,-2.87,4.37,-4.37
-8.43,-3.05,-3.20,-2.77,4.37,-4.37
-15.11,-3.16,0.96,-2.32,4.37,-4.37
-19.61,-7.28,2.34,-0.66,4.37,-2.38
-19.61,-3.92,19.61,-1.05,4.37,-4.37
-18.23,-5.33,12.22,-3.06,4.37,-3.12
-17.33,-3.52,17.36,-3.82,4.37,-2.94
-9.47,4.86,19.61,-4.37,4.37,-3.45
-12.55,-6.59,19.61,-3.72,4.37,-3.30
-13.76,-4.02,14.62,-2.16,4.37,-4.20
-13.43,-3.68,12.36,0.35,4.37,-4.11
-11.80,-4.21,13.71,2.13,2.95,-3.61
-7.61,2.90,19.50,3.21,2.26,-2.81
-1.58,11.34,19.61,3.35,2.09,-1.97
6.80,16.51,16.64,3.16,2.24,-1.59
3.33,14.65,14.10,2.35,1.94,-0.94
-2.64,10.95,9.40,1.24,1.60,-0.44
-5.31,7.80,5.69,-0.44,0.77,0.31
-3.72,7.58,4.93,-1.97,-0.07,0.81
-2.56,4.75,5.60,-3.28,-0.69,0.86
0.63,2.74,6.08,-4.05,-0.93,1.24
3.99,0.92,9.19,-4.08,-0.70,1.17
5.82,0.82,11.31,-3.53,-0.11,0.90
-15.08,-0.60,-2.93,-2.77,4.37,-4.37
-19.61,-2.71,-3.45,-3.08,4.37,-4.37
-19.61,-2.38,-2.35,-3.46,4.37,-4.37
-19.61,-2.15,-0.14,-4.18,4.37,-4.26
-19.61,-1.00,17.20,-4.37,4.37,-4.09
-19.61,-6.37,4.32,-4.37,4.37,-4.09
