acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-4.95,5.71,-5.43,0.09,-0.04,0.0
-4.99,5.92,-5.39,0.0,0.0,-0.04
-4.97,5.78,-5.33,0.08,-0.07,-0.01
-4.93,5.98,-5.51,0.04,-0.07,-0.03
-5.0,5.86,-5.38,0.04,-0.07,-0.01
-5.07,5.86,-5.46,0.03,-0.08,0.0
-5.49,5.76,-5.07,0.05,-0.11,-0.01
-5.42,5.72,-4.86,0.34,-0.58,0.06
-4.29,6.02,-5.96,0.44,-0.54,0.1
-4.07,6.07,-6.06,0.03,-0.16,-0.06
-3.48,7.35,-7.33,0.02,-0.07,-0.08
-3.56,7.29,-7.06,0.0,-0.05,-0.07
-3.5,7.21,-7.19,0.05,-0.1,-0.02
-3.57,7.29,-7.19,0.01,-0.07,-0.02
-3.63,7.21,-7.27,0.06,-0.1,0.0
-3.53,7.25,-7.3,0.02,-0.06,-0.02
-3.53,7.3,-7.2,0.02,-0.04,0.0
-3.59,7.05,-7.16,0.01,-0.03,0.0
-3.65,7.31,-7.12,0.0,-0.1,0.0
-3.48,7.24,-7.28,0.06,-0.1,0.03
-20.43,7.74,-10.23,-1.19,2.93,2.97
-20.43,8.84,-12.33,-2.3,1.58,2.5
-17.17,0.93,-8.88,-2.23,2.48,2.32
-10.9,0.12,-6.4,-1.16,1.1,1.09
-6.76,2.61,-7.56,-0.69,-0.87,0.25
-3.82,6.3,-10.14,-0.63,-1.24,-0.22
-2.94,6.94,-10.22,-0.06,-0.92,-0.39
-2.78,7.42,-9.13,0.02,-0.88,-0.1
-3.07,7.32,-8.55,0.15,-0.58,-0.03
-3.45,7.17,-7.58,0.11,-0.42,-0.03
-7.95,-0.71,-6.25,-0.38,-1.07,-0.33
-6.44,3.2,-8.41,0.44,-2.19,-1.09
-5.45,6.79,-9.76,0.39,-2.16,-1.14
-4.81,8.76,-9.57,0.75,-1.79,-0.78
-4.1,8.19,-9.35,0.85,-1.44,-0.21
-3.7,7.36,-8.86,0.99,-1.17,0.04
-3.84,6.65,-8.25,0.59,-0.99,-0.01
-4.21,6.57,-7.62,0.69,-0.84,-0.06
-4.47,7.31,-7.35,0.6,-0.93,-0.05
-4.18,7.11,-7.17,0.63,-0.86,-0.03
-0.96,7.18,-9.0,0.39,-1.39,-0.07
-1.0,7.97,-8.97,0.25,-1.12,-0.15
-0.06,8.3,-7.93,0.49,-0.73,-0.16
-0.32,9.54,-7.75,0.28,-0.8,0.1
-0.65,7.71,-7.91,0.11,-0.49,0.21
-1.62,8.36,-8.51,-0.14,-0.44,0.02
-2.35,8.22,-7.89,-0.2,-0.03,0.01
-2.82,7.5,-7.13,-0.15,-0.21,0.0
-2.39,7.6,-7.35,0.01,-0.48,0.04
-1.6,7.94,-7.63,0.05,-0.66,0.04
-2.52,7.68,-6.96,0.21,-0.66,-0.27
-2.4,7.47,-6.88,0.34,-0.62,-0.08
-2.46,7.57,-7.05,0.07,-0.46,-0.08
-2.94,7.51,-6.82,0.07,-0.32,-0.01
-3.29,7.33,-6.9,0.01,-0.27,0.02
-3.34,7.09,-6.85,0.0,-0.18,0.0
-3.45,7.05,-6.65,-0.08,-0.13,-0.06
-3.38,7.17,-6.9,-0.04,-0.15,-0.04
-3.39,7.18,-6.76,-0.06,-0.17,-0.03
-3.41,7.26,-6.99,0.0,-0.23,0.0
-2.61,7.54,-8.02,0.04,-0.21,0.02
-2.57,7.42,-8.11,0.04,-0.22,0.0
-2.66,7.78,-8.22,0.02,-0.15,-0.03
-2.55,7.73,-8.17,0.02,-0.07,-0.03
-2.5,7.92,-8.06,-0.03,0.01,-0.04
-2.6,7.8,-7.89,-0.05,0.03,0.0
-2.7,7.66,-7.91,-0.05,0.0,-0.01
-2.81,7.75,-8.09,-0.03,0.01,0.0
-2.79,7.66,-8.2,-0.07,0.05,-0.02
-2.95,7.56,-8.07,-0.06,0.01,-0.02
-0.84,7.33,-7.4,-0.26,-0.61,-0.71
-2.06,7.1,-6.38,-0.06,-0.65,-0.59
-2.56,7.56,-5.83,0.45,-0.57,-0.27
-2.52,7.26,-5.81,0.57,-0.6,-0.15
-2.6,7.13,-5.75,0.37,-0.42,-0.17
-2.68,6.89,-5.64,0.33,-0.47,-0.17
-2.79,7.18,-5.94,0.3,-0.53,-0.15
-2.58,7.36,-6.32,0.21,-0.53,-0.15
-2.57,7.61,-6.4,0.16,-0.44,-0.1
-2.52,7.29,-6.45,0.08,-0.41,-0.07
-3.73,7.53,-6.74,-0.04,0.0,-0.06
-4.12,7.28,-7.13,0.0,-0.3,-0.03
-3.7,7.4,-7.7,0.07,-0.39,0.01
-3.46,7.2,-7.63,0.01,-0.16,0.0
-3.54,6.94,-7.41,-0.01,-0.13,-0.08
-3.27,7.17,-7.39,0.11,-0.16,0.01
-3.62,7.4,-7.51,0.2,-0.24,0.14
-3.37,7.43,-7.91,0.49,-0.35,0.31
-3.02,7.29,-8.04,0.5,-0.18,0.28
-3.05,7.68,-7.57,0.11,-0.04,0.06
-1.63,6.56,-11.45,0.22,-1.74,-0.27
0.53,8.93,-12.06,-0.53,-1.11,-0.69
-1.04,8.42,-9.34,0.0,-0.54,-0.28
-1.78,6.44,-8.01,0.07,-0.76,-0.14
-2.27,7.18,-7.41,0.39,-0.71,-0.2
-2.68,7.84,-7.26,0.14,-0.78,-0.41
-2.45,8.24,-7.27,0.24,-0.76,-0.38
-2.11,8.18,-7.16,0.23,-0.74,-0.37
-1.86,8.14,-7.29,0.12,-0.75,-0.31
-1.85,7.81,-7.58,0.23,-0.76,-0.19
-3.95,7.73,-6.91,0.39,-0.84,-0.23
-3.5,7.38,-7.14,0.37,-0.84,-0.16
-3.08,7.23,-7.36,0.39,-0.7,-0.13
-2.98,7.3,-7.58,0.33,-0.64,-0.14
-2.68,7.39,-7.68,0.25,-0.47,-0.06
-2.81,7.43,-7.55,0.14,-0.3,-0.08
-3.01,7.3,-7.43,0.04,-0.17,-0.09
-3.21,7.29,-7.45,0.04,-0.14,-0.08
-3.41,7.27,-7.38,0.05,-0.07,-0.07
-3.55,7.45,-7.44,0.06,-0.03,-0.06
-3.29,7.19,-7.3,0.07,-0.2,-0.16
-3.31,7.29,-7.28,0.15,-0.19,-0.11
-3.3,7.32,-7.39,0.07,-0.13,-0.12
-3.5,7.27,-7.33,0.03,-0.09,-0.1
-3.56,7.33,-7.34,0.06,-0.1,-0.07
-3.63,7.28,-7.27,0.02,-0.08,-0.08
-3.76,7.24,-7.28,0.01,-0.09,-0.06
-3.76,7.07,-7.3,0.02,-0.11,-0.06
-3.81,7.22,-7.27,0.0,-0.12,-0.08
-3.79,7.12,-7.32,0.01,-0.13,-0.07
-2.39,6.81,-5.25,0.83,-0.15,-0.72
-3.28,6.7,-4.04,0.19,-0.22,-1.0
-4.09,6.4,-3.43,0.33,-0.71,-0.98
-3.77,7.56,-4.29,0.67,-1.31,-0.85
-3.21,7.24,-5.09,0.36,-1.31,-0.88
-3.23,6.76,-5.51,0.36,-1.35,-0.8
-3.0,7.01,-5.6,0.17,-1.3,-0.85
-2.95,6.36,-5.43,0.27,-1.25,-0.86
-3.09,6.81,-5.38,0.28,-1.19,-0.88
-2.92,6.37,-5.15,0.21,-1.06,-0.84
-17.63,-6.31,-5.64,0.16,0.17,3.65
-5.93,-1.92,-9.37,-2.45,-1.33,0.6
-4.43,2.56,-9.04,-0.18,-0.4,-0.87
-2.04,8.2,-10.09,-0.67,-0.94,-0.87
-1.87,7.75,-9.34,0.26,-0.6,-0.41
-1.71,6.86,-8.52,0.45,-0.63,-0.23
-2.48,6.88,-7.25,0.33,-0.54,-0.37
-3.14,7.25,-6.56,0.31,-0.54,-0.4
-3.4,7.65,-6.19,0.37,-0.55,-0.38
-3.38,7.55,-5.87,0.21,-0.53,-0.37
-20.43,2.4,-10.24,-4.29,2.94,4.38
-20.43,-0.14,-12.82,-4.11,0.93,4.38
-17.25,-8.59,-10.43,-1.47,0.16,4.38
-6.86,-3.65,-9.81,-1.01,-1.27,2.59
-4.21,-0.25,-9.6,-0.69,-0.53,0.42
-2.77,3.12,-9.18,-0.62,-0.87,-0.72
-2.63,4.25,-8.02,0.77,-0.56,-0.81
-2.66,6.8,-7.31,0.7,-0.62,-1.11
-3.29,7.43,-5.75,0.45,-0.24,-1.25
-3.61,7.65,-5.05,0.85,-0.71,-0.96
-6.29,3.19,-3.71,-0.14,-0.14,-0.07
-6.57,3.28,-4.21,0.19,-0.18,-0.14
-5.98,4.21,-4.47,0.19,-0.13,-0.15
-5.75,3.91,-4.45,-0.04,-0.02,-0.12
-6.46,3.42,-3.69,-0.2,-0.06,-0.27
-6.57,3.59,-4.05,0.22,-0.5,-0.17
-5.93,3.77,-5.21,0.21,-0.51,-0.1
-6.75,3.52,-4.77,-0.05,-0.1,-0.19
-6.97,3.79,-4.3,0.28,-0.14,-0.11
-6.29,3.61,-4.24,0.13,0.01,-0.08
-20.43,10.95,-9.2,-4.14,4.34,4.38
-20.43,4.05,-9.03,-1.29,4.34,4.38
-20.43,8.39,-7.18,-1.13,3.61,4.38
-20.43,-1.8,-4.31,-2.18,3.57,2.9
-20.43,-2.06,-3.83,-1.29,0.79,2.46
-14.0,-3.31,-4.71,-1.08,-0.9,1.3
-7.76,0.8,-6.35,-0.63,-1.55,-0.15
-5.15,6.0,-7.5,-0.49,-1.74,-0.49
-3.33,5.87,-8.1,0.02,-1.86,-0.05
-3.41,5.78,-7.86,0.42,-1.17,0.06
-4.59,6.63,-6.18,0.0,0.04,-0.01
-4.56,6.49,-6.19,0.04,-0.01,0.02
-4.55,6.62,-6.13,-0.01,-0.01,0.0
-4.49,6.42,-6.32,0.02,-0.05,0.03
-4.41,6.56,-6.24,0.0,-0.03,0.0
-4.44,6.63,-6.31,0.01,-0.04,0.01
-4.33,6.54,-6.26,0.01,-0.02,0.02
-4.35,6.46,-6.33,0.0,0.0,0.01
-4.32,6.54,-6.18,0.0,0.0,0.03
-4.35,6.45,-6.23,-0.01,-0.01,0.02
-4.6,6.33,-7.11,0.21,-0.23,-0.12
-5.08,6.08,-6.3,0.06,-0.21,-0.24
-5.0,6.11,-6.12,0.3,-0.41,-0.13
-4.59,6.26,-6.06,0.42,-0.43,-0.12
-4.5,7.07,-6.34,0.15,-0.32,-0.19
-4.74,6.62,-6.19,0.01,-0.22,-0.17
-4.82,6.57,-6.18,-0.03,-0.26,-0.14
-4.59,6.2,-6.22,0.09,-0.27,-0.07
-4.62,6.43,-6.33,0.0,-0.23,-0.12
-4.59,6.05,-6.32,0.06,-0.2,-0.11
-4.38,5.68,-4.62,0.13,-0.14,-0.03
-4.11,5.99,-4.87,0.22,-0.1,-0.01
-4.31,6.13,-4.67,0.04,0.04,-0.05
-4.34,5.64,-4.68,0.05,-0.04,-0.01
-4.31,5.79,-4.8,0.15,-0.1,0.0
