acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-5.81,3.31,5.05,0.85,0.42,0.0
-6.11,2.95,6.74,0.23,0.53,-0.19
-4.06,3.18,6.09,-0.72,-0.04,-0.28
-0.34,4.73,2.12,-0.33,-0.7,-0.47
-1.9,2.38,0.33,-0.05,-0.23,-0.17
-1.77,2.19,-0.18,-0.16,-0.24,-0.14
-1.35,3.63,-0.5,0.46,-0.21,-0.03
-1.25,2.62,-1.06,-0.14,-0.42,-0.15
-1.04,3.29,-0.65,0.13,-0.29,-0.13
-1.4,3.0,-1.05,0.14,-0.04,-0.15
-20.43,4.81,2.99,-4.29,4.34,-3.63
-14.92,0.66,5.56,-1.58,3.6,-1.17
-5.85,2.0,7.89,2.33,0.78,0.63
-6.95,4.53,6.89,-1.52,0.58,-0.43
-6.52,-1.25,8.15,0.56,0.92,-0.06
-4.66,4.18,6.73,-0.48,-0.06,0.34
-3.05,1.53,2.6,-0.28,-0.55,0.19
-2.77,1.46,1.93,-0.14,-0.5,0.43
-1.82,1.75,0.35,-0.31,-0.55,0.06
-1.38,1.01,-0.62,-0.25,-0.32,-0.16
-10.65,-3.41,5.4,-2.19,0.91,0.24
-4.46,5.25,6.66,2.97,0.99,0.9
-3.47,-6.05,9.2,-2.15,0.73,0.67
-2.56,1.43,6.83,1.17,-0.06,-0.15
-1.31,2.27,2.7,-0.58,-0.37,-0.72
-1.04,1.2,-0.29,-0.81,-0.47,0.13
-1.35,-0.35,-0.72,-0.14,-0.56,0.12
0.13,1.46,-1.58,0.23,-0.67,-0.16
-0.14,2.08,-1.95,-0.22,-0.39,-0.01
0.35,0.84,-0.21,0.01,0.26,-0.14
-13.85,-3.3,10.1,-4.29,4.34,-4.34
-9.81,3.11,10.23,0.82,0.74,1.33
-4.82,7.11,8.48,-0.3,0.52,-0.85
-2.95,4.88,6.77,-0.74,0.48,-0.43
-3.84,7.4,2.1,-0.03,-0.54,-0.17
