acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-8.06,-0.83,0.66,0.66,-0.87,-0.03
-8.09,-0.79,-1.29,0.75,-1.09,0.05
-7.87,0.38,-2.66,0.9,-0.98,-0.06
-8.68,1.25,-3.83,0.72,-0.97,-0.13
-7.94,1.82,-4.43,0.4,-0.78,-0.28
-8.91,2.14,-4.17,0.49,-0.82,-0.01
-7.66,2.41,-3.85,0.18,-0.79,0.19
-8.61,1.99,-3.37,0.13,-0.95,0.18
-6.91,1.92,-4.1,0.47,-1.18,0.11
-6.25,1.76,-2.29,0.74,-1.15,0.4
-3.81,4.06,-3.08,0.93,-1.68,0.27
-2.87,4.68,-2.84,0.93,-1.43,0.46
-2.24,5.0,-2.95,0.47,-1.18,0.42
-1.34,4.94,-3.15,0.11,-1.05,0.38
-0.64,4.9,-3.47,0.19,-0.89,0.23
-0.45,5.44,-3.04,0.21,-0.82,0.3
0.12,5.04,-2.99,0.14,-0.78,0.17
0.08,5.43,-3.05,0.35,-0.8,0.14
0.35,6.14,-2.95,0.37,-0.79,0.15
0.95,5.96,-2.53,0.26,-0.71,0.42
-15.81,-2.69,5.25,-0.39,0.68,0.5
-12.43,-1.19,0.56,0.23,-0.75,0.0
-11.67,-0.91,-1.06,0.73,-1.6,0.04
-10.18,-0.21,-1.71,1.39,-1.82,0.21
-10.21,0.85,-3.41,1.2,-2.33,0.24
-8.68,0.78,-3.71,1.53,-2.3,0.56
-7.63,1.74,-4.28,1.66,-2.14,0.67
-6.34,2.35,-4.09,1.19,-1.64,0.45
-5.26,2.9,-4.36,0.75,-1.59,0.25
-4.96,3.4,-3.64,0.48,-1.24,0.17
-20.43,18.07,10.23,-4.29,4.34,-1.92
-20.43,-1.08,0.75,-0.98,4.34,0.51
-20.43,2.57,2.78,-2.69,4.34,1.26
-20.43,-6.18,1.23,4.06,0.72,1.87
-19.59,1.9,3.85,0.7,1.28,1.45
-16.14,0.01,3.67,-1.25,0.92,0.46
-12.89,-1.47,-1.98,-0.4,-0.94,0.06
-12.66,-0.23,-2.26,1.16,-1.75,0.41
-10.31,0.67,-3.72,1.12,-2.19,0.23
-9.42,1.21,-3.43,1.01,-2.04,0.26
-1.5,8.17,-4.24,-0.38,-1.05,0.66
-0.7,7.77,-4.62,-0.89,-1.18,0.74
0.14,7.07,-4.21,-0.91,-1.29,0.78
0.81,6.07,-4.18,-0.71,-1.24,0.74
1.48,6.21,-4.79,-0.83,-1.39,0.6
2.08,5.26,-4.89,-0.76,-1.37,0.33
2.4,4.6,-4.63,-0.84,-1.37,0.18
2.94,4.57,-4.84,-0.53,-1.16,0.13
3.44,4.26,-4.59,-0.53,-1.21,0.12
4.01,4.67,-3.83,-0.61,-1.09,-0.02
-7.11,2.5,-3.83,1.0,-1.83,0.21
-7.09,2.43,-2.24,1.43,-1.29,0.38
-5.01,2.88,-4.63,1.01,-1.36,0.16
-5.92,3.24,-3.17,0.68,-0.78,0.34
-4.49,3.82,-4.64,0.43,-0.57,0.0
-5.34,3.55,-3.76,0.57,-0.52,0.07
-5.2,3.96,-3.39,0.83,-0.52,-0.05
-4.94,4.93,-3.36,0.61,-0.42,-0.03
-5.05,5.22,-3.57,0.66,-0.61,0.06
-4.52,5.25,-3.56,0.49,-0.53,0.22
-20.43,6.03,-20.48,1.6,4.34,-4.34
-20.43,-11.21,-13.26,1.16,4.34,1.22
-20.43,18.07,10.23,1.94,4.34,-3.57
-20.43,-2.24,-4.83,-4.29,4.34,4.38
-20.43,-11.96,-9.05,0.01,4.34,1.7
-20.43,-21.15,5.8,3.32,4.34,4.38
-20.43,-3.22,-3.68,-1.08,0.94,2.27
-17.52,-6.81,1.01,2.59,0.94,4.38
-14.05,2.27,4.36,1.38,-0.12,1.01
-12.73,0.44,3.34,0.68,-0.24,-0.03
7.85,1.75,-5.56,-1.66,-1.63,0.15
7.26,1.67,-5.72,-1.6,-1.76,0.21
8.18,1.54,-7.01,-1.54,-1.73,0.22
8.51,0.49,-7.32,-1.58,-1.99,0.43
8.7,0.47,-8.42,-1.7,-2.3,0.42
9.86,-0.4,-10.02,-1.19,-2.35,0.34
9.32,-0.01,-10.98,-1.5,-2.7,0.43
9.31,-0.05,-12.93,-1.06,-3.06,0.26
9.3,-0.39,-16.99,-0.56,-4.09,0.22
7.95,-0.14,-20.14,0.12,-4.38,0.27
-0.4,6.38,-5.28,0.71,-0.43,0.05
-0.88,6.58,-5.14,0.56,-0.58,0.04
-0.02,6.5,-5.42,0.58,-0.51,-0.05
0.22,6.79,-5.49,0.48,-0.45,-0.1
-0.1,6.59,-5.96,0.38,-0.28,-0.21
-0.21,7.26,-6.33,0.52,-0.26,-0.16
-0.37,7.14,-6.16,0.11,-0.48,-0.13
-0.32,7.17,-5.98,0.29,-0.53,-0.14
-0.39,7.58,-6.14,0.32,-0.54,-0.21
-0.44,7.94,-6.61,0.22,-0.44,-0.19
-5.19,5.23,-6.42,0.24,-0.22,0.26
-5.35,6.41,-6.56,-0.02,-0.24,0.34
-4.72,5.67,-6.27,-0.96,-0.22,0.2
-4.22,4.85,-5.57,-0.38,0.11,0.16
-4.79,5.48,-5.32,0.0,0.16,0.07
-4.84,5.48,-5.2,-0.06,0.17,-0.03
-5.03,5.49,-5.23,0.1,0.11,-0.06
-5.09,5.58,-5.02,0.0,0.13,-0.16
-5.21,5.59,-5.26,0.04,0.12,-0.05
-5.41,5.7,-5.07,-0.07,0.11,-0.03
-8.66,3.45,-6.28,2.06,-1.5,0.63
-7.72,4.37,-6.04,1.98,-1.58,0.75
-7.74,4.8,-6.38,1.63,-1.69,0.76
-6.57,5.88,-6.13,1.34,-1.8,1.06
-4.52,6.78,-6.93,1.33,-1.68,1.01
-4.6,6.42,-6.92,0.81,-1.53,1.01
-3.73,6.91,-6.32,0.57,-1.47,1.07
-2.85,6.56,-6.26,0.24,-1.08,1.09
-2.48,7.24,-6.5,-0.29,-1.71,1.16
-1.37,6.45,-5.76,0.36,-1.25,0.8
-5.44,5.47,-5.06,0.44,-0.52,0.01
-5.21,5.68,-5.07,0.46,-0.57,0.04
-4.82,5.73,-5.06,0.49,-0.57,0.05
