acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-14.32,3.47,-2.36,0.55,-2.21,0.29
-13.14,3.43,-4.66,0.74,-3.15,0.99
-12.25,2.82,-6.42,0.67,-4.17,1.52
-11.17,2.6,-7.79,1.52,-4.16,1.74
-6.94,3.03,-6.81,1.4,-2.35,1.24
-5.84,4.07,-6.76,0.1,-2.06,0.62
-5.24,3.74,-5.51,0.67,-1.84,0.84
-3.9,4.94,-5.16,0.67,-1.8,0.55
-2.96,5.57,-4.95,0.26,-1.54,0.55
-2.33,5.23,-4.49,-0.07,-1.3,0.42
-20.43,9.04,3.88,2.24,3.61,0.92
-20.43,2.08,2.2,0.08,2.0,-0.08
-20.03,3.21,1.5,1.15,1.2,0.01
-15.37,3.14,0.61,1.49,-0.21,0.94
-13.26,3.61,-0.94,0.68,-1.96,0.44
-12.44,5.51,-2.88,1.04,-2.75,1.19
-12.56,4.56,-3.53,0.99,-3.72,2.45
-7.96,3.52,-5.18,1.28,-3.48,1.85
-6.54,5.64,-4.8,-0.03,-2.39,1.34
-3.38,4.47,-4.61,0.11,-2.38,0.93
-20.43,2.09,2.13,1.02,2.3,0.09
-18.57,3.4,1.37,1.02,1.1,0.27
-15.51,1.64,0.65,1.24,-1.34,0.68
-12.18,4.5,-2.78,1.06,-1.84,0.66
-11.51,3.44,-4.13,1.02,-2.55,1.28
-11.52,4.22,-5.24,0.62,-2.61,1.43
-8.89,2.99,-7.22,1.03,-3.63,1.65
-6.32,3.88,-5.48,0.75,-1.7,1.24
-5.52,4.18,-4.85,0.45,-2.0,0.59
-4.35,5.52,-4.15,1.29,-2.16,0.79
-17.16,3.49,1.1,1.5,-0.68,0.51
-13.49,4.74,-3.42,1.0,-2.18,1.09
-11.78,3.63,-5.58,0.79,-2.76,1.42
-11.03,4.14,-6.95,0.42,-2.97,1.09
-10.68,3.96,-7.08,0.37,-3.08,1.79
-9.0,2.21,-6.25,1.49,-2.9,1.96
-6.52,4.28,-6.19,1.32,-2.81,1.25
-5.0,5.05,-5.83,0.68,-2.13,1.13
-2.82,5.06,-5.87,0.34,-2.13,1.21
-0.7,5.27,-5.29,0.53,-1.73,0.95
-20.43,3.63,5.59,0.94,2.02,0.15
-18.91,3.76,4.79,0.71,0.02,0.46
-14.2,3.17,1.07,0.66,-1.92,0.76
-12.97,3.71,-3.45,0.64,-3.21,1.04
-10.77,4.79,-4.45,-0.22,-2.75,1.27
-10.89,2.93,-5.61,-0.35,-3.76,1.34
-7.34,2.96,-4.66,0.53,-2.9,1.26
-6.07,4.91,-3.75,0.01,-2.38,1.09
-4.36,4.34,-3.01,0.22,-1.98,1.1
-1.59,4.11,-3.32,0.08,-1.99,1.02
-13.3,4.77,-2.63,0.65,-1.16,0.4
-11.38,3.53,-4.75,0.15,-1.94,0.77
-11.01,3.52,-5.16,0.15,-2.08,0.87
-10.01,3.54,-6.65,-0.58,-2.37,1.13
-9.94,2.47,-6.86,-0.34,-2.75,1.14
-6.99,1.72,-5.71,0.8,-2.21,1.41
-5.63,3.09,-4.67,0.7,-1.64,0.77
-5.13,4.2,-4.62,0.3,-1.53,0.46
-4.29,4.52,-4.4,0.52,-1.75,0.71
-2.37,5.25,-3.74,0.65,-1.26,0.86
-19.48,4.21,2.15,0.06,1.2,-0.76
-16.66,3.04,-0.42,1.07,-1.64,0.99
-12.19,4.03,-4.44,0.21,-2.5,1.2
-11.37,2.21,-5.39,-0.77,-2.59,0.77
-9.32,2.15,-6.51,-0.44,-2.85,0.86
-9.41,1.71,-5.65,0.51,-2.3,1.07
-7.03,2.64,-5.53,0.74,-2.41,0.79
-5.84,3.6,-4.83,0.33,-1.64,0.49
-4.82,4.61,-3.91,0.18,-0.98,0.19
-4.72,5.4,-3.22,0.97,-1.18,0.34
-20.43,0.09,1.76,2.85,4.34,1.13
-20.43,5.23,4.01,1.7,2.58,-0.33
-20.18,3.76,4.06,0.21,1.37,-0.04
-16.43,1.91,2.97,1.3,-0.79,0.71
-12.5,3.42,-0.66,0.9,-2.45,0.39
-11.75,3.36,-2.99,-0.14,-2.48,0.6
-9.89,1.54,-4.34,0.04,-3.03,1.05
-9.91,2.34,-4.32,0.97,-2.96,1.26
-6.13,3.17,-5.1,1.13,-3.1,0.95
-4.18,4.3,-3.97,0.4,-2.1,0.72
3.82,4.18,-3.3,-0.04,-0.19,0.05
3.93,4.41,-3.38,-0.74,-0.17,-0.02
3.95,3.63,-3.17,-0.22,-0.34,-0.09
4.17,3.86,-3.01,-0.28,-0.32,0.02
3.93,3.49,-3.15,-0.71,-0.31,-0.17
3.35,1.15,-2.47,-0.43,-0.45,0.02
3.33,1.71,-2.13,-0.24,-0.78,-0.58
4.54,5.78,-2.51,-0.91,-0.92,-0.95
4.3,4.11,-2.57,-0.58,-1.13,-0.63
5.2,4.23,-4.74,-0.22,-1.3,-0.4
-1.62,5.01,-4.04,-0.14,-0.84,-0.05
-1.29,3.04,-2.16,0.23,-0.13,0.14
0.1,4.95,-2.34,-0.26,-0.76,0.02
-1.0,3.13,-1.32,-0.29,-0.53,0.06
-2.08,3.56,-0.7,0.2,-0.83,0.06
-1.08,4.02,-1.76,0.53,-1.0,0.1
-1.14,4.97,-1.46,0.36,-0.62,-0.06
