acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-12.35,1.22,-3.58,-1.37,0.66,0.54
-11.76,-0.7,-3.31,-4.18,2.71,-1.5
-11.33,-5.69,0.37,0.42,0.54,-1.13
-4.02,-0.42,-5.29,3.0,-1.28,-0.32
-1.95,-2.4,-3.55,0.26,-0.2,0.37
-4.91,-2.6,-0.05,-0.06,-0.2,0.52
-7.13,-1.56,-0.71,1.32,-0.91,1.18
-10.44,-3.36,-0.09,0.68,-2.51,1.27
-3.93,-0.83,-0.79,0.76,-1.8,1.13
1.64,-0.62,1.04,1.85,-0.7,0.79
9.34,-0.61,-2.86,2.58,-0.89,0.86
10.06,1.97,-3.19,3.56,-0.5,0.03
10.26,5.09,-3.32,1.05,-0.5,-0.67
10.9,5.08,-3.6,0.35,-0.45,-0.77
8.13,3.91,-1.96,0.02,0.29,0.0
7.16,3.7,-1.79,-0.61,-0.04,0.09
4.91,2.92,-2.21,-0.15,-0.1,0.28
5.17,4.2,-2.94,-0.13,-0.06,0.06
4.7,4.47,-2.01,-0.22,-0.06,-0.08
5.06,3.4,-2.5,0.18,-0.32,0.04
-13.83,-2.71,-4.03,-1.54,0.43,-0.9
-15.45,3.28,0.63,-1.66,2.39,-2.3
-8.64,-1.04,1.17,1.28,-0.57,-1.61
-3.78,-1.95,-4.17,1.63,-0.68,0.4
-5.4,-0.71,-0.37,0.25,-0.04,0.63
-8.97,0.28,1.1,1.85,-1.21,1.14
-8.96,2.31,0.01,-0.24,-2.53,1.99
0.35,-0.33,-1.83,0.99,-1.27,1.28
18.33,1.09,0.36,-1.57,1.41,-0.38
20.04,2.01,-1.03,-1.49,1.27,-0.5
6.9,0.07,-3.75,-2.95,1.85,-1.34
-18.3,-1.83,-7.73,-1.7,-0.47,-1.18
-18.81,-0.65,-2.06,-4.31,4.38,-2.45
-13.02,-1.5,5.54,1.96,0.5,-1.81
-1.93,-0.96,-7.73,1.1,-2.23,1.98
-4.12,-6.11,-2.65,-1.45,-0.23,0.76
-8.74,-5.5,1.94,2.29,-0.47,1.46
-7.21,-0.63,-0.23,2.68,-2.41,1.86
-4.33,-1.72,0.07,4.13,-2.1,1.98
