acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-3.61,3.23,-15.36,4.41,2.75,-1.56
-13.61,-4.3,-18.35,-0.08,-0.03,0.73
-9.89,2.38,-20.9,-0.62,-4.14,-1.29
3.77,7.14,-18.38,0.38,-1.33,-0.37
-5.88,7.93,-9.33,-0.2,1.11,0.06
-2.85,5.87,-11.55,-0.62,-0.73,0.19
-4.63,9.95,-12.83,0.03,0.92,0.44
-6.84,4.56,-12.32,-0.7,-0.17,1.22
-7.36,6.01,-13.12,-2.02,0.26,0.73
-3.86,7.1,-11.16,-0.93,0.61,1.68
17.74,2.91,-1.39,3.05,1.63,-0.88
17.65,5.45,-7.57,4.41,2.33,-2.32
6.41,13.78,-17.4,4.41,2.23,-2.57
-6.84,18.27,-15.32,3.05,4.38,-1.67
-18.81,-0.78,-19.3,0.37,-3.82,1.1
-8.81,-5.42,-24.67,1.03,-3.21,0.52
2.38,7.36,-19.16,0.67,-0.25,-0.85
-7.78,8.4,-5.92,-1.22,0.61,-0.14
-0.78,4.24,-12.27,-0.19,-0.49,0.23
-3.67,11.84,-13.38,-0.37,0.55,0.14
-4.19,7.41,-14.55,-0.12,-0.4,1.13
-6.21,2.35,-11.41,-1.03,-0.3,0.7
-4.85,8.72,-12.71,-1.56,0.6,0.56
-0.58,10.6,-10.87,-1.29,0.21,0.93
0.91,8.76,-11.6,-2.96,0.0,0.99
3.0,6.7,-9.39,-3.5,0.0,1.4
4.62,5.39,-5.2,-2.85,-0.21,0.82
7.47,7.71,-4.61,-2.45,-0.6,1.23
4.6,5.84,-3.13,-2.78,-1.53,0.09
9.69,1.94,-3.0,-2.37,-0.49,0.2
18.17,2.88,-1.92,3.18,2.28,-1.09
15.58,5.05,-8.41,4.41,1.54,-1.93
5.33,9.83,-16.1,4.41,4.38,-3.09
-14.47,12.78,-14.76,4.41,1.54,0.98
-18.52,-2.24,-22.06,-0.47,-3.87,0.36
-7.75,1.63,-19.57,-0.67,-3.19,-1.52
2.21,7.1,-18.36,0.57,-1.21,0.26
-5.9,4.89,-8.24,-0.69,0.71,-0.17
-3.67,7.24,-10.91,-0.89,-0.69,-0.13
-2.95,8.72,-12.94,-0.64,0.17,0.12
-3.99,8.16,-13.49,-1.3,0.23,0.53
-4.08,5.89,-14.08,0.3,1.45,0.7
-7.22,4.04,-11.77,0.13,1.14,0.56
-3.48,8.17,-14.04,-0.9,0.09,0.89
-1.68,7.25,-11.04,-0.1,0.84,0.87
1.39,8.74,-12.91,-1.31,0.44,0.7
-0.61,10.03,-10.73,-1.34,0.14,1.86
5.55,8.3,-9.73,-4.26,-0.66,1.24
6.54,4.35,-7.98,-2.79,-1.28,1.42
7.07,6.44,-5.77,-3.3,-1.55,0.04
17.79,3.67,-4.15,2.32,0.67,-1.04
14.46,-0.88,-6.23,4.41,2.61,-2.2
3.68,9.92,-15.79,4.41,4.38,-3.15
-9.27,17.29,-15.71,2.49,2.05,-0.93
-16.22,-7.05,-15.92,-1.16,-3.82,-0.2
-13.1,6.59,-19.6,-1.22,-3.01,-2.18
-2.14,7.85,-18.86,0.4,-3.09,-0.34
-2.67,2.75,-9.83,-0.04,1.37,0.51
-5.73,5.62,-8.12,-1.0,-0.81,0.09
-3.07,7.54,-11.26,-0.7,-0.27,0.01
-4.83,8.44,-11.53,-0.03,0.65,0.54
-5.79,7.12,-12.51,-0.65,0.52,0.95
-6.78,7.72,-13.35,-1.94,0.37,1.09
-5.59,4.03,-10.14,-0.22,0.63,1.35
-2.31,9.88,-13.7,-2.34,0.08,1.38
-1.28,7.54,-8.37,-2.3,0.47,1.68
3.31,8.14,-6.53,-2.72,0.34,0.81
4.43,6.23,-6.27,-2.28,-0.98,1.7
4.87,4.3,-2.59,-1.94,-0.16,1.39
9.21,5.58,-4.33,-2.49,-1.06,1.19
16.47,2.78,-5.82,1.67,2.28,-1.72
13.39,7.25,-7.76,4.41,1.23,-1.56
13.28,14.79,-14.19,3.91,3.6,-2.44
-3.38,4.27,-11.44,4.41,2.4,-0.05
-18.81,1.59,-13.13,0.92,0.42,0.68
-17.61,3.19,-26.56,1.19,-4.34,-0.31
1.05,4.26,-18.88,1.2,-1.47,0.03
-5.0,4.29,-10.63,-1.36,1.48,0.19
-3.85,5.43,-11.64,-1.88,-0.29,-0.21
-4.96,8.32,-14.32,-2.27,-0.23,0.3
-10.68,7.39,-11.93,-2.87,-0.09,1.39
-5.4,7.67,-12.47,-2.37,-0.35,1.34
-3.44,8.84,-7.45,-2.93,-0.04,1.99
3.54,5.97,-5.98,-2.56,-0.17,1.16
2.41,5.57,-6.9,-1.02,-1.31,1.01
7.29,7.79,-4.01,-1.74,-0.37,0.52
7.15,7.07,-6.59,-0.82,-1.64,0.19
8.6,7.31,-5.47,-1.49,-0.21,-0.2
8.38,5.42,-3.35,-0.71,-0.1,0.34
9.07,4.54,-3.03,-0.01,-0.24,0.17
-3.06,13.93,-9.19,1.99,1.18,-1.45
-2.24,10.13,-15.19,3.84,0.3,0.27
-15.76,3.67,-12.81,0.45,1.86,0.86
-18.81,2.41,-18.81,-0.31,-3.27,-1.0
0.77,5.52,-24.15,0.89,-3.56,0.3
-7.99,2.92,-8.09,-0.49,1.02,0.07
-4.24,6.78,-12.19,-0.13,-0.47,-0.06
-3.6,6.64,-13.85,-1.08,-0.01,0.45
-4.88,6.16,-12.85,-0.02,0.82,0.32
-7.49,7.83,-13.42,-1.68,-0.28,0.88
-7.11,8.19,-12.54,-2.16,-0.22,1.48
-5.61,7.04,-13.63,-1.03,-0.72,1.04
-6.11,10.17,-12.68,-2.96,-0.19,1.08
-0.31,8.66,-9.22,-2.65,0.12,1.05
1.44,7.98,-5.6,-1.79,0.5,1.14
3.68,8.63,-8.45,-1.71,-1.16,0.45
5.12,4.41,-4.2,-1.8,0.37,0.63
6.95,9.8,-4.68,-1.35,0.09,0.27
4.94,4.56,-2.49,-1.31,-0.44,0.51
6.45,4.61,-3.36,-0.82,-0.42,0.45
-2.65,9.47,-15.11,1.3,1.91,-1.34
-18.3,2.39,-18.01,3.1,0.56,1.12
-16.22,8.05,-21.25,-2.08,-2.81,-2.39
-0.15,5.46,-21.1,1.05,-2.52,0.22
-7.31,4.55,-9.53,-0.39,1.23,0.04
-4.44,6.49,-10.28,-1.3,-0.48,-0.31
-3.11,7.87,-11.87,-0.5,-0.15,0.23
-5.28,8.2,-12.92,-0.15,-0.2,0.73
-6.28,8.76,-14.62,-1.66,-0.4,0.93
-9.86,9.97,-12.08,-2.48,0.15,0.91
-3.26,13.81,-18.15,4.41,3.56,-0.24
-18.5,4.14,-15.98,0.32,-0.27,1.97
-14.56,3.01,-21.54,-0.08,-2.98,-0.57
-3.48,0.67,-20.12,0.74,-3.02,0.28
-1.85,6.63,-13.66,-0.7,1.06,-0.6
-4.62,5.78,-9.9,-0.51,-0.32,-0.2
-3.28,7.94,-12.51,-0.91,-0.57,-0.44
-3.53,7.8,-12.97,-0.28,-0.03,0.29
-3.44,8.87,-13.13,-0.62,-0.29,-0.17
-4.11,8.05,-13.03,-0.31,-0.08,0.59
-3.48,6.44,-12.96,1.2,3.9,-0.43
-18.81,5.06,-19.37,2.13,1.29,0.5
-7.22,10.42,-19.59,-3.95,-1.77,-3.81
1.02,5.61,-15.41,2.51,-0.66,1.59
-5.58,7.46,-8.62,0.42,-0.11,-0.89
-3.33,7.68,-11.03,0.06,-0.97,0.0
-3.09,10.25,-11.86,-0.1,-0.35,0.08
-3.62,7.98,-10.99,-0.12,0.19,0.42
-5.1,10.75,-11.42,-1.08,-0.33,0.07
-5.08,8.92,-12.67,-2.52,-1.31,0.8
-8.55,13.25,-17.5,4.41,4.14,-0.5
-18.81,1.37,-15.06,-1.23,-1.06,0.0
-13.32,3.76,-20.29,-0.8,-4.34,-0.58
0.26,2.24,-17.89,2.54,-1.79,0.78
-4.27,8.84,-10.32,-0.14,1.38,-0.35
-4.98,8.99,-10.41,-0.46,-0.12,-0.24
-3.07,5.53,-11.62,-0.46,0.12,0.29
-4.93,6.6,-11.65,0.11,0.11,0.13
-5.74,11.37,-14.56,-0.39,-0.53,0.83
-8.81,9.5,-14.06,-1.91,0.02,1.62
-10.15,11.83,-16.23,3.79,2.67,1.24
-16.73,-0.75,-20.22,-0.7,-3.03,1.14
-9.5,2.73,-22.53,-1.05,-3.68,-0.66
-1.39,3.82,-19.43,1.96,-1.18,0.39
-4.24,9.85,-12.53,-0.71,1.35,-0.54
-4.07,6.57,-11.97,-0.4,-0.51,-0.32
-1.8,8.83,-16.14,-0.37,0.09,0.16
-3.38,7.16,-14.8,-0.28,0.45,0.08
-4.73,7.58,-15.07,-0.07,-0.01,0.98
-6.65,12.02,-18.26,-2.5,-0.32,0.85
2.38,9.81,-14.12,4.41,2.76,-0.84
-8.85,5.91,-15.0,2.95,1.5,1.01
-15.49,5.43,-21.22,-0.16,-2.64,0.16
-11.37,-0.58,-19.01,-1.38,-3.48,-1.17
5.17,7.16,-23.01,2.68,-1.12,0.55
-9.49,5.23,-7.77,0.04,2.1,0.15
-3.36,7.62,-12.98,0.17,-0.59,-0.59
-2.23,10.38,-16.51,-0.21,0.24,0.08
-3.36,6.52,-15.01,0.11,0.87,0.27
-2.82,8.26,-15.86,0.52,0.44,0.17
4.83,3.32,-18.81,4.41,-0.27,-1.23
9.72,10.83,-18.43,4.41,0.26,-0.34
13.07,5.21,-17.64,3.72,1.57,-0.32
17.37,6.65,-20.63,2.14,1.26,-0.89
10.29,8.25,-21.49,-1.84,2.7,0.47
11.09,0.77,-25.16,-1.26,1.98,0.67
-14.98,0.92,-15.08,-1.08,2.23,1.17
-18.81,5.25,-25.4,-2.41,-2.9,-2.32
-1.86,-5.97,-22.94,1.09,-3.27,0.33
4.79,11.16,-19.2,-1.99,2.19,-1.46
-6.34,6.38,-12.93,-0.23,-0.42,-0.49
-0.04,9.19,-18.04,-0.06,1.07,-0.4
-1.16,5.93,-17.12,-0.24,0.99,-0.32
