acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2.37,-1.94,-9.0,-0.35,-0.13,0.93
-1.32,0.0,-9.96,-0.22,-0.44,0.14
-1.3,1.19,-10.41,-0.04,-0.63,0.48
-3.64,-0.47,-8.63,1.46,2.67,0.83
-6.73,-3.05,-14.1,0.55,2.16,-0.65
-3.05,-1.65,-11.36,2.05,0.77,-0.28
1.52,-2.83,-9.23,2.33,-2.98,-1.38
16.25,7.69,-16.1,2.1,-4.34,-2.1
20.41,11.38,-26.85,1.57,-4.34,-0.32
20.41,8.34,-18.19,-0.2,-2.63,-1.43
20.41,4.02,-13.06,0.85,0.51,0.49
13.32,3.69,-11.32,-0.84,1.65,-0.66
9.96,2.99,-13.51,-0.36,1.37,0.49
7.92,2.01,-13.64,-0.26,1.17,0.55
8.05,1.3,-13.19,0.06,0.51,0.66
8.02,2.16,-12.8,-0.4,-0.56,0.06
9.09,1.36,-12.75,0.01,-1.48,0.25
8.9,2.19,-13.64,-0.58,-0.76,-0.06
9.9,2.26,-13.38,-0.43,-0.19,0.18
10.23,2.08,-13.53,-0.1,0.34,0.08
20.41,8.25,-19.6,1.63,-4.34,-0.24
20.41,3.71,-19.58,1.47,-3.78,1.17
20.41,4.05,-17.06,0.0,-0.3,-0.51
14.63,3.91,-11.47,-0.29,1.78,-0.38
10.81,0.65,-12.13,-0.58,1.86,-0.08
8.73,0.94,-12.4,-0.47,1.48,0.07
7.05,0.48,-10.53,-0.24,1.02,0.19
8.34,0.43,-10.62,-0.15,0.5,0.05
9.41,0.77,-10.34,-0.02,0.0,0.19
10.5,1.07,-10.7,0.03,0.08,0.1
20.41,12.06,-10.5,-1.57,1.13,0.59
19.36,7.1,-9.17,-0.78,2.92,2.08
12.91,2.73,-5.65,-0.6,1.65,1.76
9.48,0.33,-8.45,0.61,0.45,2.16
4.14,0.38,-8.49,-0.39,-0.12,1.26
0.8,-1.12,-11.46,0.01,-1.44,1.05
-0.53,-0.06,-12.81,0.5,-1.17,0.84
-0.11,-0.48,-11.66,0.61,-0.62,0.91
-2.08,-1.07,-11.28,1.29,0.95,0.45
-5.07,-0.54,-10.18,0.9,3.26,0.66
-3.78,-2.64,-9.42,1.45,1.89,-0.75
3.55,-8.27,-3.29,2.03,-1.66,-0.96
20.22,5.62,-15.0,1.94,-4.34,-0.86
20.41,4.54,-14.03,-0.06,-4.34,-0.48
20.41,8.04,-17.31,-0.11,-1.52,-0.93
17.42,2.55,-11.47,0.02,2.12,-0.23
10.55,-0.93,-10.23,-0.14,2.51,-0.08
7.15,0.17,-11.07,-0.73,1.43,-0.36
6.58,0.46,-9.45,0.12,0.9,0.2
