acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
-1.01,-12.37,-13.62,2.29,-1.49,-0.31
-5.1,-8.79,-11.33,1.6,0.44,-3.87
-12.44,1.26,-7.18,2.66,-0.96,-4.36
-12.11,18.78,-14.29,-1.61,-1.63,-4.36
-7.23,18.78,-0.76,1.1,-1.35,-2.16
-0.23,18.78,-8.53,0.23,0.4,3.92
-11.41,18.78,-12.66,-1.75,0.36,4.36
-15.35,8.14,-13.52,-1.97,1.08,4.36
-11.06,-8.7,-13.56,-2.04,0.23,4.36
-4.3,-18.79,-15.0,-1.05,-0.42,2.68
-5.69,-20.44,-13.64,0.58,0.6,-1.88
-9.9,-12.61,-11.85,1.9,0.6,-4.36
-10.56,0.0,-13.95,4.13,-0.34,-4.36
-11.33,18.78,-11.47,0.62,-1.05,-4.36
-5.07,18.78,-6.24,1.7,-0.74,-2.47
1.89,18.78,-11.67,1.95,-1.18,-0.21
0.23,14.14,-10.26,-0.24,0.04,0.55
-2.59,8.11,-9.79,-0.08,-0.22,0.88
-2.21,6.32,-11.3,-0.18,-0.36,0.87
-1.51,4.2,-11.57,-0.01,0.02,0.42
-0.78,6.88,-11.4,0.03,0.0,-0.08
0.56,18.78,-13.2,-0.27,-0.06,-0.3
0.46,18.78,-12.52,-1.64,1.98,2.58
-6.3,15.34,-11.24,-0.5,2.34,4.36
-5.05,0.82,-12.19,-0.67,1.79,4.36
-2.8,-5.69,-9.86,-1.09,1.34,1.97
-0.57,-3.8,-6.96,-0.29,0.99,1.0
2.4,1.03,-6.78,-0.23,0.25,-0.01
5.49,4.79,-6.09,-0.13,0.13,-0.16
5.85,7.78,-6.53,0.32,-0.23,-0.3
6.45,7.25,-6.59,-0.01,-0.1,-0.1
6.19,8.26,-7.38,-0.04,-0.03,-0.07
5.74,7.15,-6.76,0.0,0.08,0.01
5.83,7.04,-6.9,-0.06,-0.07,0.1
5.94,6.92,-6.92,-0.02,-0.03,-0.03
6.09,7.15,-7.4,0.0,-0.05,0.1
5.93,6.78,-6.86,-0.09,0.12,0.05
6.06,6.59,-6.72,0.08,0.05,0.08
5.99,7.25,-6.73,-0.08,0.05,0.0
5.97,6.73,-6.88,0.01,-0.15,0.11
-1.29,-15.45,-13.69,0.45,-1.28,-1.39
-10.39,-8.49,-7.73,0.64,0.32,-4.36
-16.06,5.16,-7.96,2.98,-1.78,-4.36
-10.65,18.78,-16.38,-1.73,-1.24,-4.36
-1.4,18.78,-6.14,1.45,0.23,-0.2
-5.66,18.78,-4.17,-2.16,1.35,4.1
-12.1,18.78,-11.39,-1.18,0.12,4.36
-13.62,3.98,-15.15,-2.23,0.41,4.36
-6.87,-11.73,-14.94,-1.36,-0.08,4.36
-5.7,-20.44,-14.88,-0.77,0.47,0.41
-9.19,-20.44,-12.59,1.7,0.67,-3.08
-12.29,-8.56,-14.23,3.4,-0.73,-4.36
-15.56,13.97,-12.94,2.65,-1.34,-4.36
-5.18,18.78,-11.48,1.74,-0.31,-4.36
3.39,18.78,-4.37,-0.05,-0.05,0.49
-7.33,18.78,-8.75,-1.42,0.45,4.36
-12.08,13.33,-15.77,-1.04,0.0,4.36
-8.87,-4.63,-19.36,-0.71,0.67,4.36
-3.74,-4.89,-10.76,-2.13,2.15,1.76
-0.34,-5.73,-7.69,-0.56,0.38,1.3
3.85,-1.76,-5.2,-0.36,0.8,-0.28
4.69,4.06,-4.61,0.27,-0.15,-0.58
5.67,6.94,-5.08,0.56,-0.01,-0.14
5.48,7.99,-5.58,0.34,-0.32,-0.19
5.64,8.75,-6.56,0.07,-0.12,0.0
5.39,7.99,-6.51,0.0,-0.16,-0.02
5.44,6.76,-6.71,0.08,-0.01,0.02
5.23,7.53,-6.51,0.03,0.09,-0.11
5.16,6.88,-6.36,0.1,-0.01,-0.11
5.23,7.37,-7.24,0.41,0.11,-0.12
-1.42,-12.23,-12.98,-1.31,-2.73,1.83
-3.44,-17.63,-12.2,1.22,-0.44,-3.95
-13.52,2.21,-10.81,3.81,-1.59,-4.36
-12.63,18.78,-15.48,-1.56,-2.95,-4.12
-4.37,18.78,-10.08,2.07,0.01,-0.98
-4.49,18.78,-6.67,-1.88,2.9,2.47
-11.31,18.78,-10.7,-1.35,0.5,4.27
-10.93,8.4,-13.74,-2.34,0.75,4.36
-7.0,-7.23,-16.12,-1.82,-0.35,4.36
-2.1,-20.44,-13.46,-0.66,0.71,2.02
-3.34,-20.15,-12.26,1.12,0.53,-1.33
-5.5,-12.99,-13.94,2.41,-0.4,-3.62
-9.76,-2.14,-12.63,4.16,-0.52,-4.36
-14.72,18.78,-17.96,4.41,-3.64,-3.46
-2.88,18.78,-19.83,-1.33,-1.71,-3.73
0.03,18.78,-15.96,0.37,1.91,1.12
-8.9,18.78,-12.86,-3.17,1.85,2.13
-7.72,11.79,-13.77,-1.62,1.11,3.85
-6.0,-1.78,-14.87,-1.81,0.37,3.61
-0.7,-6.38,-14.49,-2.02,0.86,2.28
0.35,-9.07,-8.35,-0.71,0.86,0.81
0.99,2.15,-6.41,-0.36,0.78,-1.73
1.85,6.37,-5.36,-0.42,-0.3,-0.18
2.47,8.79,-6.42,0.5,-0.14,-0.42
3.47,9.03,-7.53,0.26,-0.24,0.24
2.77,9.47,-6.84,0.14,-0.21,0.01
2.97,9.43,-7.43,0.05,-0.06,0.12
2.51,8.94,-7.19,0.05,0.1,-0.01
2.5,8.32,-7.4,-0.02,0.16,-0.01
2.31,7.23,-6.95,0.0,0.12,-0.14
-1.67,-10.08,-10.68,0.69,-1.1,-1.27
-7.09,-0.78,-9.68,2.03,-1.92,-3.16
-7.45,18.78,-12.42,0.93,-3.12,-4.36
-1.61,18.78,-12.77,-0.71,-0.82,-2.45
-2.49,18.78,-6.33,-0.9,2.03,2.76
-9.02,18.78,-11.62,-1.33,0.51,4.36
-11.16,10.34,-15.86,-2.88,1.14,4.36
-6.16,-8.43,-15.13,-2.35,-0.19,4.36
-2.83,-20.44,-14.47,-1.38,-0.14,1.36
-2.64,-20.44,-14.64,1.21,0.49,-2.67
-9.37,-11.93,-12.55,3.38,0.25,-4.36
-14.12,6.7,-14.09,4.41,-1.26,-4.36
-8.83,18.78,-13.48,0.24,-0.79,-4.36
-5.13,18.78,-8.07,0.32,-0.37,-0.89
-3.86,18.78,-5.95,-0.28,1.61,2.52
-8.47,17.31,-10.94,-1.36,-0.14,3.3
-7.23,6.52,-15.99,-0.79,0.35,4.26
-2.26,-2.68,-15.66,-1.05,1.1,2.97
-0.95,-3.89,-10.65,-1.22,0.72,0.7
2.09,-1.4,-8.73,-0.47,1.02,0.2
1.56,2.36,-5.68,-0.46,0.55,-0.32
2.06,5.99,-5.63,0.13,0.03,-0.64
2.21,9.06,-6.43,0.16,-0.13,-0.04
2.77,8.69,-6.86,0.01,-0.22,-0.22
2.85,9.15,-7.33,0.03,-0.09,0.09
2.61,8.95,-7.69,0.14,-0.1,0.12
2.71,8.74,-7.55,-0.04,0.1,0.19
2.51,8.03,-7.08,0.08,0.08,0.12
2.63,8.16,-7.25,-0.09,0.03,0.04
2.8,8.44,-7.36,0.04,-0.01,0.08
1.55,-6.71,-11.61,1.14,-0.84,-0.33
-2.42,-11.25,-10.71,1.06,-0.65,-2.52
-11.39,4.71,-7.72,2.33,-1.14,-4.36
-8.22,18.78,-11.9,0.72,-1.34,-4.36
-3.04,18.78,-8.05,-0.71,0.62,0.35
-7.13,18.78,-7.94,-0.74,0.76,2.84
-9.86,18.69,-12.85,-1.17,0.32,4.36
-10.31,7.08,-14.89,-2.27,1.06,4.36
-7.25,-10.83,-13.84,-2.56,0.0,4.36
-0.54,-20.44,-14.36,-0.07,-0.27,1.23
-3.61,-18.9,-10.87,1.18,0.64,-3.58
-9.89,-9.1,-11.87,3.5,-0.75,-4.36
-10.67,4.48,-14.25,3.57,-0.76,-4.36
-12.86,18.78,-18.54,0.49,-2.07,-4.36
-10.96,18.78,-8.88,-0.04,-0.28,-2.07
-3.06,18.78,-7.13,-0.23,1.29,2.0
-8.84,18.78,-9.14,-1.23,0.13,3.09
-7.29,12.26,-16.39,-1.13,0.62,4.22
-4.15,-0.44,-15.77,-1.48,1.26,4.06
-1.12,-6.72,-11.62,-0.44,1.29,1.75
0.38,-1.55,-8.65,-0.88,0.97,0.57
1.55,0.7,-6.19,-0.47,0.64,-0.28
2.53,5.18,-6.5,0.47,0.01,-0.24
2.77,9.6,-6.17,0.31,0.0,-0.52
2.86,9.49,-6.82,0.04,-0.29,-0.03
3.28,9.89,-7.83,0.11,-0.3,0.12
3.2,8.9,-8.04,-0.05,-0.05,0.08
2.9,8.41,-7.62,-0.02,0.09,0.09
3.0,8.02,-7.36,-0.1,0.07,0.05
3.06,7.92,-7.17,0.0,0.06,0.01
-1.03,-11.64,-11.01,0.38,-1.7,0.13
-2.65,-17.75,-12.76,2.02,-0.34,-4.12
-15.54,2.02,-11.38,2.69,-0.93,-4.36
-16.53,18.78,-16.24,1.03,-1.77,-4.36
-6.13,18.78,-5.65,-0.36,-0.27,-1.05
-6.32,18.78,-8.94,0.48,0.81,3.5
-10.57,18.78,-12.13,-1.53,0.65,4.36
-10.76,10.41,-16.08,-2.6,1.14,4.36
-8.61,-10.88,-13.02,-2.68,0.6,4.36
-5.25,-20.44,-14.18,-0.67,0.34,2.52
-3.72,-20.44,-12.74,1.2,0.56,-2.14
-8.93,-12.14,-12.15,2.41,-0.19,-4.36
-9.84,-0.88,-14.46,4.41,-0.83,-4.36
-13.61,18.78,-20.53,1.07,-2.99,-4.36
-12.67,18.78,-16.86,0.71,0.62,-2.27
-7.48,18.78,-9.57,-1.13,2.13,2.15
-10.93,18.63,-12.14,-2.04,0.63,3.34
-6.99,8.54,-15.98,-2.61,0.03,3.89
-5.05,-0.51,-14.5,-2.08,0.31,3.79
-1.36,-4.86,-11.4,-1.83,0.16,1.7
1.26,-5.85,-9.95,-0.51,0.17,0.63
2.35,0.61,-6.98,-0.27,0.56,-0.49
2.35,6.98,-5.84,0.32,-0.14,-0.3
3.37,9.2,-5.84,0.43,-0.08,-0.22
3.2,9.72,-6.66,0.38,-0.07,0.01
3.05,9.05,-7.29,0.14,-0.04,0.08
3.17,9.41,-7.05,0.09,0.09,0.19
2.96,8.44,-6.76,-0.01,0.08,0.12
3.07,7.89,-7.09,-0.08,-0.07,0.24
3.11,7.9,-7.36,0.0,-0.05,0.14
0.0,-8.89,-11.2,1.43,-0.98,1.96
-4.77,-10.69,-8.99,1.72,-1.24,-3.08
-11.3,3.28,-10.73,1.95,-4.34,-4.36
-5.24,18.78,-22.35,-0.25,-4.34,-4.26
9.69,18.78,-22.05,1.53,-1.29,-1.53
6.38,18.78,-14.41,-0.9,2.43,2.45
-3.19,18.78,-14.21,-1.71,2.08,4.36
-5.99,12.99,-16.4,-1.64,2.05,4.36
-6.24,0.01,-13.24,-2.06,2.39,4.36
-6.17,-11.28,-8.26,-1.4,1.58,3.28
-5.87,-17.59,-11.74,0.18,-0.6,-0.09
-6.78,-12.2,-12.64,0.93,0.06,-3.61
-10.58,-6.35,-13.29,2.77,-1.16,-4.36
-12.34,12.87,-15.3,3.07,-2.6,-4.36
-0.76,18.78,-14.53,0.39,-1.73,-4.36
7.91,18.78,-12.37,1.91,0.02,-0.14
0.98,18.78,-9.41,-2.29,1.91,2.17
-3.97,18.78,-14.28,-1.7,0.55,3.5
-5.01,8.57,-17.17,-1.72,1.13,4.36
-2.69,-3.71,-15.06,-0.55,1.83,3.58
-2.08,-8.18,-9.89,-0.97,1.57,1.67
0.37,-3.43,-8.24,-0.8,0.26,-0.23
2.9,2.55,-6.57,0.19,-0.14,-0.65
5.85,6.87,-6.57,0.84,-0.2,-0.33
5.82,8.98,-6.39,0.26,-0.45,-0.19
6.3,9.21,-7.69,0.52,-0.46,-0.03
5.75,9.42,-8.19,0.18,-0.27,0.12
5.73,8.42,-8.07,0.23,0.03,0.18
5.68,7.16,-8.13,0.08,-0.12,0.21
5.54,7.25,-8.32,0.07,0.0,0.05
-1.03,-10.37,-8.99,0.52,0.12,-1.45
-3.44,-12.81,-13.03,2.09,-1.02,-3.47
-8.99,1.17,-11.0,2.88,-0.7,-4.36
-9.74,18.78,-13.76,1.3,-2.05,-3.58
-2.85,18.78,-12.47,1.59,-1.77,-1.73
1.17,18.78,-11.95,-0.01,1.17,2.49
-4.98,18.78,-11.51,-1.06,0.53,4.27
-7.8,15.48,-16.0,-1.94,1.15,4.36
-8.03,3.13,-14.4,-2.56,0.89,4.36
-5.06,-11.1,-13.9,-1.06,0.15,4.36
-3.79,-20.44,-9.4,-0.04,0.35,0.91
-4.05,-16.57,-10.9,1.8,-0.54,-2.99
-9.72,-8.2,-13.45,2.58,-1.49,-4.36
-11.58,8.11,-16.57,3.51,-2.05,-4.36
-3.38,18.78,-17.41,-0.71,-1.33,-4.36
-0.03,18.78,-15.24,2.33,-1.16,-0.52
-4.24,18.78,-12.33,-3.31,2.43,1.32
-6.33,17.1,-11.16,-1.65,0.83,3.0
-4.67,11.21,-16.94,-2.24,0.49,4.36
-4.84,1.0,-16.03,-2.23,0.85,4.36
-1.68,-8.26,-13.02,-0.9,0.77,2.67
0.29,-8.6,-9.12,-0.1,0.16,0.41
3.54,-0.1,-7.05,-0.22,0.35,-1.48
5.04,7.16,-6.43,0.25,-0.28,-0.98
5.55,10.34,-6.49,0.63,-0.24,-0.68
5.98,9.26,-7.71,0.29,-0.33,-0.1
5.21,9.56,-8.27,0.11,0.03,-0.06
5.36,8.26,-8.18,0.24,0.11,0.1
4.94,7.46,-7.88,-0.03,-0.01,0.01
5.1,7.77,-8.1,0.11,-0.03,0.04
0.08,-11.69,-11.03,0.1,-0.13,0.11
-3.61,-16.52,-11.77,1.39,-0.28,-3.62
-9.97,-2.12,-10.39,2.77,-0.71,-4.36
-13.74,18.78,-10.71,-0.42,-1.4,-4.07
-6.34,18.78,-8.2,1.35,-0.66,-1.83
-1.98,18.78,-6.72,-0.54,1.54,1.91
-8.59,18.78,-4.66,-1.26,0.35,2.6
-7.16,18.78,-14.18,-0.72,-0.01,4.29
-7.29,6.89,-13.22,-3.05,0.85,4.36
-7.59,-11.94,-12.31,-1.48,-0.25,4.36
-1.6,-20.44,-13.76,-0.35,-0.05,1.39
-2.8,-20.44,-12.76,1.77,0.26,-2.46
-8.22,-8.58,-11.11,3.27,-0.23,-4.36
-12.03,4.84,-14.12,4.41,-1.91,-4.36
-8.71,18.78,-12.67,-0.51,-1.79,-3.26
-0.69,18.78,-15.36,1.23,-0.81,-1.39
-2.38,18.78,-8.94,-1.45,2.02,1.85
-6.8,17.25,-10.08,-0.99,0.12,2.78
-4.86,9.37,-14.39,-1.58,0.7,3.76
-3.31,-3.07,-14.03,-1.53,0.55,3.35
-0.53,-4.22,-11.66,-0.53,0.85,1.29
1.57,-1.67,-9.51,-0.65,0.56,0.19
1.98,3.71,-6.47,-0.29,0.42,-0.43
3.82,6.78,-6.47,0.41,-0.13,0.08
4.33,9.13,-7.23,0.27,-0.09,-0.21
4.1,9.11,-7.25,0.13,0.01,0.06
3.7,8.98,-7.42,-0.01,-0.16,0.07
3.79,8.58,-7.96,0.03,0.03,0.16
3.8,7.91,-7.66,-0.03,0.12,0.05
3.8,7.67,-7.5,-0.03,0.07,-0.09
0.15,-17.29,-11.62,1.25,-1.87,0.66
-3.92,-10.46,-13.04,1.23,-0.66,-4.36
-12.09,9.91,-11.3,1.69,-1.33,-4.36
-7.36,18.78,-11.47,0.53,-1.37,-4.02
-1.23,18.78,-10.58,0.07,0.66,0.45
-7.43,18.78,-7.01,-1.97,1.09,2.96
-6.7,18.78,-14.23,-1.32,0.34,4.36
-8.09,4.81,-14.56,-3.04,0.74,4.36
-7.33,-14.28,-13.64,-1.68,-0.09,4.31
-1.72,-20.44,-14.15,0.82,0.23,1.85
-4.14,-19.76,-11.1,1.39,0.68,-3.11
-8.83,-9.85,-11.85,3.77,-0.87,-4.36
-15.63,12.41,-17.09,4.24,-2.89,-4.36
-10.53,18.78,-18.42,1.58,-2.06,-4.21
-2.76,18.78,-14.7,0.05,0.37,-0.1
-6.62,18.78,-8.46,-1.97,1.81,2.3
-6.99,16.06,-13.71,-1.16,0.08,3.35
-5.1,6.04,-16.09,-1.5,0.75,3.99
-2.04,-4.47,-14.82,-1.69,1.13,3.22
-0.23,-4.04,-9.24,-1.96,1.13,0.98
1.81,-2.14,-6.31,-0.78,0.41,-0.03
2.84,5.05,-6.44,-0.08,-0.15,-0.07
3.91,6.6,-6.79,0.5,-0.18,-0.26
4.07,8.98,-7.04,0.03,-0.13,0.01
4.06,9.38,-7.1,0.3,-0.12,-0.02
4.11,8.56,-7.22,0.04,-0.01,0.18
3.83,8.26,-7.57,0.16,0.15,0.07
3.79,7.29,-7.1,-0.03,0.23,-0.02
3.48,7.39,-7.04,0.23,0.11,-0.1
3.62,8.57,-7.55,0.2,0.05,-0.08
0.01,-18.71,-9.19,1.73,-1.83,1.33
-6.18,-10.61,-12.9,2.31,-2.4,-4.36
-11.69,7.87,-14.81,1.6,-3.02,-4.36
-11.17,18.78,-14.17,-1.06,-2.77,-4.36
-2.22,18.78,-12.71,1.16,-0.06,1.43
-6.51,18.78,-11.87,-2.79,1.83,3.23
-8.64,17.19,-11.96,-2.84,0.42,4.36
-9.16,2.79,-13.5,-2.34,0.04,4.36
-8.05,-9.47,-14.0,-1.84,-0.6,4.36
-4.51,-20.44,-15.89,0.89,-0.58,2.29
-3.53,-19.22,-13.86,1.52,0.65,-3.07
-10.96,-8.64,-13.06,2.9,-0.27,-4.36
-16.78,11.42,-14.93,3.74,-1.38,-4.36
-12.54,18.78,-12.05,-0.63,-0.18,-4.36
-3.85,18.78,-5.89,1.44,0.05,-0.05
-4.21,18.78,-8.68,-1.45,1.19,2.12
-6.14,18.08,-11.39,-0.98,0.18,3.31
-4.94,7.63,-15.27,-1.04,0.82,4.29
-1.98,-1.78,-15.07,-1.15,1.18,3.32
-0.52,-7.12,-11.4,-0.8,1.56,1.28
0.05,-2.52,-8.87,-0.28,0.74,-0.43
1.49,4.61,-6.54,-0.07,0.67,-0.79
2.23,8.23,-6.12,0.54,0.09,-0.66
2.6,10.95,-6.74,0.33,-0.05,-0.17
2.91,9.97,-7.13,0.2,-0.33,0.0
2.93,9.99,-8.67,0.18,-0.39,0.23
2.73,9.09,-8.65,0.01,0.0,0.28
2.93,8.22,-8.16,0.0,0.07,0.19
2.89,7.59,-7.92,-0.08,-0.08,0.1
3.1,8.42,-8.39,0.11,-0.07,0.0
-0.67,-17.94,-12.71,0.17,-0.85,-0.41
-7.43,-12.17,-12.85,1.63,-0.82,-4.36
-11.26,13.76,-12.96,2.19,-0.8,-4.36
-10.3,18.78,-6.95,0.55,-1.34,-4.25
-2.93,18.78,-8.69,0.56,-0.3,0.73
-7.2,18.78,-6.92,-1.24,0.7,3.05
-9.49,18.6,-13.25,-1.81,0.14,4.36
-9.47,4.93,-15.4,-2.73,0.21,4.36
-5.65,-13.67,-15.76,-1.82,-0.18,3.79
-2.45,-20.44,-16.72,0.23,-0.43,0.97
-4.56,-20.44,-12.78,2.1,0.93,-3.59
-12.12,-6.08,-12.86,4.06,-0.5,-4.36
-15.02,18.78,-13.98,2.46,-1.28,-4.36
-8.1,18.78,-14.51,-0.1,-1.11,-3.93
-5.69,18.78,-7.83,1.04,0.45,0.85
-7.77,18.78,-10.26,-1.46,0.47,2.52
-6.88,17.2,-14.05,-1.63,0.49,4.11
-7.56,4.54,-16.39,-2.13,0.02,4.27
-2.37,-5.42,-14.64,-1.25,0.77,3.43
-0.24,-9.61,-10.14,-0.65,0.36,1.54
1.55,-0.97,-8.06,-0.61,0.45,-0.68
2.33,4.95,-6.34,0.29,0.06,-0.25
3.43,8.27,-5.81,0.76,0.07,-0.31
4.29,10.48,-6.72,0.15,-0.19,0.0
4.24,9.41,-6.96,0.02,-0.23,0.03
3.9,9.03,-7.43,0.12,0.02,0.15
3.94,8.37,-7.67,-0.03,0.01,-0.02
3.94,8.04,-7.58,-0.09,0.18,-0.02
3.57,7.68,-7.34,-0.05,0.08,-0.04
3.85,7.88,-7.51,-0.05,0.11,-0.03
0.7,-17.4,-13.82,0.3,-1.35,1.31
-6.98,-15.36,-12.22,2.6,0.1,-4.36
-17.79,18.78,-12.68,2.04,-2.34,-4.36
-10.25,18.78,-10.42,0.31,-1.81,-3.79
-0.82,18.78,-11.43,1.2,0.26,1.56
-6.26,18.78,-8.86,-2.14,1.15,2.84
-6.79,17.17,-13.66,-1.83,0.15,4.01
-7.2,4.61,-14.76,-2.37,0.48,4.36
-4.2,-9.1,-14.68,-2.19,-0.02,3.85
-2.76,-20.44,-14.96,0.25,-0.26,1.73
-3.19,-20.44,-14.27,1.84,0.91,-2.92
-10.61,-8.08,-11.87,2.97,-0.06,-4.36
-13.9,12.58,-13.41,3.86,-1.66,-4.36
-7.94,18.78,-8.54,-0.89,-1.8,-3.72
-0.1,18.78,-12.48,2.35,-0.8,1.36
-4.73,18.78,-8.87,-2.08,1.97,2.79
-5.71,15.31,-12.32,-1.82,0.27,3.19
-5.05,1.59,-14.98,-0.78,0.39,3.73
-1.36,-5.97,-13.44,-1.12,0.68,2.21
0.28,-3.18,-9.53,-0.53,0.7,0.7
2.68,1.11,-8.17,-0.53,0.7,-0.09
2.5,4.93,-6.29,-0.01,-0.07,-0.26
3.74,7.59,-7.12,0.39,-0.17,-0.33
3.59,9.66,-7.03,0.09,0.03,-0.07
3.43,9.55,-7.61,0.16,-0.21,0.04
3.51,8.78,-7.8,0.01,-0.01,0.14
3.45,8.38,-7.7,-0.01,0.07,0.05
3.25,7.75,-7.62,-0.04,-0.01,0.03
3.54,8.22,-7.37,-0.05,0.08,-0.04
3.35,8.11,-7.77,0.0,-0.14,-0.02
0.43,-16.41,-9.65,1.12,-1.2,1.33
-5.14,-17.54,-12.38,2.71,-0.98,-4.36
-17.22,10.59,-13.51,2.67,-1.91,-4.36
-12.84,18.78,-17.24,0.01,-1.45,-4.36
-7.96,18.78,-7.72,0.12,0.09,0.61
-7.42,18.78,-8.91,-1.26,0.79,3.15
-7.56,18.78,-13.45,-1.27,0.22,4.36
-9.31,7.63,-15.59,-3.04,0.75,4.36
-6.47,-6.28,-15.37,-2.65,-0.14,4.28
-2.93,-20.44,-13.5,-0.37,0.06,2.96
-1.91,-20.44,-12.77,1.23,0.83,-2.55
-8.72,-11.16,-10.66,2.36,0.28,-4.36
-12.87,8.52,-12.46,3.74,-0.79,-4.36
-15.66,18.78,-12.86,0.97,-0.26,-4.36
-6.85,18.78,-7.18,0.43,0.31,-1.7
-5.13,18.78,-6.99,-0.13,0.84,1.68
