acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
8.93,1.61,-13.49,-2.92,-4.34,0.88
6.66,-3.5,-16.73,-2.69,-4.34,1.47
1.63,-7.2,-24.7,-1.67,-4.34,1.16
1.69,-8.48,-29.31,1.42,-4.34,0.02
-2.76,-8.58,-29.31,2.9,-2.86,-2.39
-4.65,-3.75,-29.31,2.29,-0.11,-4.36
-12.49,-0.94,-21.88,0.72,3.29,-4.36
-14.15,4.55,-14.59,-1.99,4.38,-3.32
-18.81,0.53,-11.39,1.09,4.38,-4.36
-18.81,17.89,3.11,-4.31,4.38,-3.42
-3.78,2.63,-2.9,-0.28,-3.77,0.34
-3.36,3.54,-0.72,-0.71,-3.35,-0.06
0.41,1.92,-1.86,-1.19,-3.96,-0.56
2.44,2.89,-2.48,-0.86,-2.68,-0.54
4.75,1.75,-5.12,-1.6,-2.24,-0.89
5.85,1.77,-5.13,-1.54,-1.6,-0.89
6.56,1.43,-4.91,-1.81,-1.18,-1.14
8.47,1.6,-4.79,-1.51,-0.63,-0.76
8.42,-0.36,-4.81,-1.32,-0.51,-0.45
8.83,-2.25,-4.88,-1.08,-0.54,-0.29
8.02,-2.19,-4.36,-0.77,-0.38,-0.5
7.8,-3.44,-3.78,-0.3,-0.43,-0.29
8.45,-2.4,-3.61,-0.15,-0.3,-0.37
8.77,-2.69,-3.46,-0.04,-0.3,-0.13
8.73,-1.9,-2.89,-0.2,0.01,0.2
7.99,-3.07,-0.51,-0.5,-0.49,0.34
8.36,-4.27,1.76,-1.34,-1.86,0.19
10.06,-3.36,0.46,-2.73,-4.15,0.22
9.47,-6.13,-4.54,-2.46,-4.34,0.37
3.51,-4.17,-18.0,-0.46,-4.34,-0.84
-2.97,0.18,-29.31,2.2,-4.34,-2.78
-4.28,-3.09,-29.31,2.49,-4.34,-3.01
-9.07,-4.69,-27.18,1.4,2.15,-4.36
-18.81,-0.47,-14.84,0.51,4.38,-4.36
-18.81,0.03,-9.21,-2.28,4.38,-4.36
-18.81,9.76,-7.26,-0.05,4.38,-4.36
-18.81,12.22,3.4,-4.31,4.38,-0.21
-18.81,-13.82,6.48,1.24,4.38,-2.39
-18.81,5.45,-2.16,2.25,4.38,1.09
-18.81,0.49,1.21,0.09,4.38,0.0
-8.8,0.67,-8.04,0.41,-4.34,1.45
-5.76,2.47,-6.12,0.27,-3.78,0.86
-3.1,3.5,-5.49,0.71,-3.47,0.02
0.31,4.53,-6.75,1.22,-3.77,0.1
2.47,6.32,-6.76,0.12,-2.87,-0.03
5.2,5.94,-6.09,-0.64,-2.32,-0.24
5.73,6.7,-5.38,-0.26,-2.01,0.0
6.95,4.63,-5.58,-0.29,-2.29,0.28
6.35,4.59,-5.57,-0.68,-1.95,0.22
8.56,5.46,-6.25,-0.56,-1.62,0.21
6.72,-7.29,-19.55,-0.22,-4.34,1.01
3.86,-8.08,-26.91,0.41,-4.34,0.15
1.44,-6.07,-27.45,0.92,-2.72,-1.11
-1.12,-4.17,-24.12,0.78,-0.42,-2.76
-3.1,-2.45,-20.06,0.3,2.23,-3.75
-6.48,-0.03,-14.58,0.08,4.21,-3.92
-5.32,2.79,-10.71,-1.15,4.38,-3.14
-7.1,2.45,-5.52,-1.24,4.38,-2.24
-7.64,5.77,-4.09,-2.72,4.38,-1.51
-9.71,4.74,0.2,-4.31,4.38,1.37
-9.02,-5.29,6.58,-2.03,4.38,0.96
-12.61,0.76,7.2,2.31,4.38,1.04
-9.66,0.36,2.64,1.43,2.8,0.52
-12.18,0.11,5.57,0.87,1.79,0.89
-12.56,0.89,5.73,0.47,0.57,0.91
-12.02,-0.12,4.83,0.45,-1.78,1.19
-8.49,-0.25,3.09,1.17,-2.5,0.43
-5.88,2.73,1.64,0.3,-2.38,0.11
-2.9,1.31,0.42,1.0,-2.19,0.74
-1.07,4.21,-2.22,1.6,-2.1,0.37
3.45,-4.44,-21.93,-1.0,-4.34,1.8
2.3,-8.82,-26.01,-0.18,-4.34,0.6
-0.82,-7.74,-28.21,1.73,-3.24,-1.88
-4.11,-5.12,-27.58,1.42,-0.71,-2.94
-4.85,-3.09,-23.81,0.8,1.8,-4.09
-7.76,-1.3,-16.73,0.17,4.06,-3.35
-10.06,-0.09,-12.5,-1.03,4.38,-3.47
-12.34,2.72,-7.47,-1.37,4.38,-3.55
-18.5,6.58,-4.31,-2.06,4.38,-3.22
-16.34,3.79,7.98,-4.31,4.38,1.49
-9.32,-3.59,6.25,1.42,4.38,-0.81
-13.12,3.83,9.63,1.19,4.33,0.79
-11.81,-1.45,7.9,-0.06,2.17,0.47
-8.42,-0.87,4.76,1.35,1.32,0.7
-8.51,-0.94,1.33,1.68,-0.36,0.47
-6.19,1.55,0.42,0.1,0.61,0.04
-6.55,-0.96,1.36,-0.26,-0.29,-0.04
-6.34,0.52,1.26,0.03,-0.17,-0.05
-4.88,3.1,0.18,0.31,-1.13,-0.11
-5.11,2.7,-1.17,0.47,-1.55,0.22
6.69,-4.24,-18.32,-2.01,-4.34,3.86
3.1,-5.77,-25.04,-0.04,-4.34,1.59
0.33,-4.56,-29.31,1.77,-4.34,-0.75
-1.51,-3.11,-28.27,1.71,-0.8,-1.85
-7.15,-4.19,-22.39,0.87,3.61,-2.97
-13.12,-2.63,-16.16,0.34,4.38,-2.62
-14.95,-1.62,-13.33,-0.2,4.38,-4.36
-18.81,11.68,1.15,-0.01,4.38,-4.33
-14.82,0.75,3.3,-4.31,4.38,-0.83
-11.96,-0.38,9.91,-0.12,4.38,-0.7
5.23,-5.23,-21.26,-0.87,-4.34,1.12
0.04,-5.83,-29.31,1.05,-4.34,-1.6
-2.22,-2.13,-29.31,2.49,-1.81,-2.09
-4.91,-3.61,-25.71,1.2,2.33,-3.16
-9.91,-0.47,-17.37,0.76,4.38,-3.07
-11.66,1.52,-10.58,-0.55,4.38,-3.13
-18.81,5.86,-2.85,1.19,4.38,-4.36
-18.81,12.15,-3.94,-4.17,4.38,-2.56
-18.81,-4.82,1.74,-2.28,4.38,-0.76
-18.81,-0.41,9.91,0.72,4.38,0.62
7.1,-4.94,-19.72,-0.98,-4.34,1.93
-1.49,-0.26,-29.31,0.4,-4.34,-0.26
-7.91,-2.57,-29.31,1.88,-2.21,-2.09
-13.14,-1.16,-24.72,0.82,3.6,-2.97
-18.81,-3.5,-16.31,-1.11,4.38,-0.4
-18.81,-2.82,-1.57,2.17,4.38,-4.36
-18.81,14.25,-4.54,-4.04,4.38,-4.16
-18.81,-0.09,-4.99,-2.15,4.38,-2.22
-18.81,-6.09,3.78,0.87,4.38,0.14
-18.81,-0.3,0.58,-1.04,0.7,0.16
-10.05,-1.2,-3.39,-0.23,-0.82,0.64
-9.31,-0.69,-4.04,0.25,-1.29,0.22
-9.89,0.59,-3.31,0.43,-1.02,0.21
-8.12,2.22,-4.16,0.38,-1.42,0.12
-7.85,3.1,-3.17,0.62,-1.95,0.43
-7.71,2.81,-3.06,0.36,-1.81,0.45
-6.98,3.08,-3.22,0.5,-1.9,0.62
-6.32,1.89,-2.87,0.23,-1.71,0.92
-5.14,3.22,-4.05,0.43,-2.0,0.78
-3.96,2.14,-2.43,0.39,-1.18,0.79
3.53,-7.86,-20.91,-1.99,-4.34,1.44
-4.49,-4.77,-29.31,-0.32,-4.34,-2.06
-9.19,-1.05,-29.31,2.39,-3.21,-4.01
-9.0,0.91,-29.31,1.19,1.58,-4.36
-15.98,1.19,-15.32,-0.25,4.38,-2.25
-18.81,0.89,-9.01,-1.26,4.38,-2.95
-18.81,9.64,-11.25,0.5,4.38,-4.36
-18.81,2.97,9.59,-4.31,4.38,0.61
-14.92,-6.82,6.16,3.21,4.38,-1.32
-18.81,2.16,1.62,0.4,4.38,0.92
6.11,-6.41,-20.33,-3.15,-4.34,1.79
-1.81,-4.39,-29.03,-0.57,-4.34,-0.96
-7.7,-2.17,-29.31,2.75,-3.42,-3.18
-8.03,-2.88,-29.11,1.11,1.22,-3.13
-11.79,-2.3,-20.57,0.42,4.38,-4.36
-18.81,8.36,-11.78,-0.2,4.38,-2.63
-18.81,5.67,-7.64,-0.24,4.38,-4.36
-18.81,18.78,-2.22,-4.29,4.38,-0.71
-18.81,-19.05,9.91,-0.85,4.38,-1.31
-13.75,0.94,9.91,2.35,2.74,1.72
8.04,-7.64,-20.57,-3.41,-4.34,1.25
3.28,-1.68,-27.44,-1.0,-4.34,-1.69
-1.35,3.44,-29.31,2.09,-4.34,-3.12
-3.68,1.98,-29.31,2.05,-1.02,-3.34
-8.55,-0.25,-28.65,-0.09,3.52,-3.16
-17.95,-4.02,-19.67,-1.17,4.38,-1.85
-18.81,-1.39,-13.0,-2.78,4.38,-3.16
-18.81,-4.39,-13.7,-4.31,4.38,2.08
-18.81,-12.58,2.63,-1.35,4.38,-2.73
-15.54,2.03,-2.06,1.59,1.98,3.39
-11.93,-8.41,-1.67,-0.29,1.94,0.03
-13.58,-1.5,1.13,-0.84,2.35,-0.39
-12.94,-4.51,2.69,-0.11,0.36,0.61
-9.36,-3.05,-0.46,0.07,-0.43,0.14
-8.89,-2.53,0.51,0.03,-0.15,-0.03
-8.8,-1.44,0.38,0.52,0.24,0.3
-7.34,-1.86,1.83,0.82,-0.15,0.32
-9.29,-0.05,0.87,1.3,-1.68,0.84
-9.13,1.0,-0.02,1.25,-1.92,1.26
-6.02,2.57,-3.54,1.08,-2.09,1.47
-4.2,4.0,-2.34,0.66,-1.39,1.48
-3.55,3.12,-1.56,0.3,-1.21,1.15
-3.5,2.13,-1.21,0.45,-0.99,1.12
-0.16,3.59,-0.12,1.07,-1.06,0.73
-0.28,3.67,-3.04,1.51,-1.27,0.68
0.54,5.47,-2.65,0.88,-0.58,0.62
2.29,4.9,-2.87,1.11,-0.69,0.53
0.97,6.04,-3.26,0.58,-0.48,0.63
2.11,5.0,-2.22,0.66,-0.2,0.67
2.45,6.42,-3.31,0.52,-0.61,0.39
8.44,-9.35,-13.64,0.67,-4.3,0.73
9.83,-8.85,-17.48,0.72,-4.34,0.01
9.11,-8.52,-21.97,0.73,-4.08,-1.28
6.27,-7.65,-23.7,2.39,-3.6,-1.92
2.04,-6.25,-26.09,1.93,-3.62,-3.12
-4.07,-3.03,-29.31,1.1,-2.17,-4.36
-12.02,-2.4,-18.66,-1.63,3.32,-2.85
-18.81,-3.94,-12.9,-1.5,4.38,-4.36
-18.81,17.88,-8.89,-2.61,4.38,-4.36
-18.81,8.0,-5.28,0.0,4.38,-4.36
-18.81,1.91,1.71,0.45,4.38,0.51
-18.81,2.9,1.94,-0.52,4.38,-0.87
-17.0,3.23,1.46,-0.39,1.21,-0.07
-14.34,2.83,-0.49,0.74,-0.56,0.64
-10.99,3.83,-1.79,0.51,-0.92,0.16
-8.97,4.68,0.17,-0.45,-0.84,-0.27
-7.68,5.8,0.15,0.18,-0.7,-0.22
-5.66,4.89,-1.09,0.47,-0.98,-0.04
-6.02,6.41,-1.26,0.54,-1.26,-0.12
-3.71,5.49,-3.6,0.09,-1.29,-0.14
1.69,-3.54,-24.43,-1.64,-4.34,-0.81
-1.15,-4.01,-29.31,1.55,-4.34,-1.82
-3.64,-3.86,-29.31,1.99,-2.17,-3.38
-6.2,-1.49,-29.31,1.0,0.82,-3.47
-11.43,-3.11,-21.9,-1.52,4.38,-3.41
-18.81,-2.27,-8.15,-2.59,4.38,-1.88
-18.81,4.56,-6.67,-3.52,4.38,-1.16
-18.81,-1.77,-0.76,-4.31,4.38,4.14
-13.24,-17.43,5.67,-2.25,4.38,0.44
-8.08,1.86,-4.83,4.41,3.85,1.71
-10.77,-8.58,5.52,-2.04,2.72,0.06
-10.8,-3.55,2.86,0.96,1.37,0.44
-8.89,-2.55,1.64,-0.28,1.33,0.49
-8.92,-4.18,2.94,0.42,0.43,0.47
-7.05,-2.56,1.67,-0.24,0.58,0.19
-7.33,-2.12,1.6,0.26,0.08,0.24
-5.31,-2.34,0.17,0.39,-0.12,0.37
-5.62,-2.08,0.19,0.56,-0.4,0.25
-5.23,-2.07,0.99,0.43,-1.17,0.22
-4.86,-0.74,-0.56,0.58,-1.39,0.12
3.69,-2.76,-19.71,-3.91,-4.34,1.26
-3.09,-6.64,-29.31,-0.37,-4.34,-1.05
-5.23,-1.41,-29.31,2.51,-4.34,-3.62
-10.01,-4.11,-29.31,1.62,-0.32,-4.2
-10.66,-2.2,-24.01,-0.4,4.38,-4.36
-17.64,3.32,-10.22,0.3,4.38,-3.92
-18.81,9.28,-0.59,1.47,4.38,-4.36
-17.44,18.78,2.15,-4.31,4.38,-1.07
-4.02,-4.26,4.73,-0.24,4.38,-3.39
-11.64,3.89,4.97,3.68,4.38,1.81
-5.48,-3.97,-28.45,-1.2,-4.34,-1.07
-4.5,-1.01,-29.31,3.6,-4.34,-2.47
-8.39,-4.97,-29.31,2.02,-0.77,-2.96
-7.05,-4.84,-27.3,0.48,1.7,-4.27
-10.05,-1.98,-17.45,-0.25,4.38,-4.35
-15.04,1.15,-10.61,0.67,4.38,-4.36
-18.81,2.53,-5.98,1.87,4.38,-4.36
-18.81,17.81,-5.44,-1.65,4.38,-4.36
-6.97,7.59,4.11,-2.41,2.21,-2.76
-3.09,3.49,0.35,1.42,2.5,-0.62
-6.76,7.1,2.91,0.26,3.3,-1.28
-6.43,6.88,4.38,0.31,2.2,-1.03
-5.15,8.77,3.8,0.27,1.57,-0.45
-3.34,7.16,1.99,0.71,0.64,0.01
-4.68,5.79,2.28,0.01,0.49,-0.06
